"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 14.9426703182217 0.0485771108810329 14.8496976925165 14.910299350695 14.9421165398266 14.9748338465657 15.0383173637184 1.00136259946912 3300
"D" 0.243026209278412 0.00655706060057627 0.230353194685403 0.238620745738067 0.24296833477352 0.247283467465603 0.25610877237583 1.00144040272564 2900
"K_V" 0.896398420875172 0.116958912881991 0.686760282606394 0.815027780629104 0.888774325995904 0.968832044145499 1.14521037240777 1.00541761641562 430
"Q" 10.5245226229735 1.20325711042173 8.30229849463889 9.68728872510564 10.4765246378272 11.2921437423398 13.0285550375025 1.00081026608021 6000
"deviance" -24.7041075437108 4.43824175030028 -31.2378290528809 -27.9169999350388 -25.3842073189492 -22.2057689370109 -14.4486911738007 1.00117504222091 6000
"r_P" 0.518641956268565 0.0457149934669005 0.430615309533964 0.487931568642132 0.518219711130915 0.548719620351965 0.610732911957656 1.00078108131106 6000
"r_V" 2.12135807873629 0.0929906863373207 1.94216408220815 2.05901144537957 2.12006186364966 2.18195531815287 2.30830279317729 1.00441209706432 550
"sigma2_P" 0.0460782356165186 0.00671779658309239 0.0348236524091554 0.0413696729813403 0.0453936432703762 0.0501670435171823 0.0609121452736653 1.00150906118553 2600
"sigma2_V" 0.0543352097266965 0.00795206859713144 0.0408689080207171 0.0487610695575531 0.0536473912950617 0.0590635194033667 0.0722945090972283 1.00112678541306 5300
"tau_FR" 17.5568057074221 2.47226889928455 13.0839384845596 15.8294465867845 17.428463373542 19.1586102649758 22.7731806998419 1.00075932710619 6000
