"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 10.0414954235318 0.0621989965082572 9.91824855203661 10.0001848446845 10.0417854161815 10.082400378573 10.1631042338036 1.00205467172385 1500
"D" 0.611926681112782 0.0171932077954662 0.578758784890208 0.600277462561525 0.611846035934234 0.623027014340519 0.646444736147969 1.00106750628906 6000
"K_V" 0.217273981996378 0.0160952113691726 0.200422356581681 0.205534342243892 0.212616549856166 0.224251510613383 0.259855918819469 1.00102623798526 6000
"deviance" 39.3916865260017 4.58360911054027 32.5831407267331 36.0109020888442 38.7778692508813 41.8528092726567 50.4418047882189 1.00157527359827 2400
"epsilon" 0.0959891621075779 0.00789664151447663 0.0802603861407516 0.0907338608492001 0.0960780629886783 0.101282812400862 0.111190228856159 1.00156213959875 2500
"r_P" -0.670571544831145 0.0577670093992044 -0.783329158222986 -0.709941145039443 -0.671462752499651 -0.631852357856387 -0.556620617293487 1.00107933002855 6000
"r_V" 3.11167070132035 0.0668155844304771 2.95335766961355 3.07416593897751 3.12181811447731 3.15792686902594 3.21571294729082 1.00114041936601 5100
"sigma2_P" 0.0412358650575236 0.00599510200474498 0.0312182907417646 0.0369867533864019 0.0406123965428903 0.0449818682876221 0.0546337661442538 1.00096488360095 6000
"sigma2_V" 0.123006789206668 0.0185114401598824 0.0922780885144068 0.109856699973417 0.121339842660767 0.133679691353144 0.165226559031563 1.00118805244167 4600
"tau_FR" 18.7785505476042 2.68798217534498 13.821333171765 16.9398697818454 18.6764655164192 20.4991881407314 24.245336232358 1.00141258447899 3000
