"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 2.5626872121479 0.139917592838786 2.31596944936261 2.46425624921661 2.55302773491717 2.64799213768554 2.86204257250642 1.00498421404118 680
"D" 1.19099039839761 0.365310457223603 0.570645073644112 0.934917601625207 1.15917782620493 1.41288093405604 1.97997080613273 1.00295793764466 960
"K_V" 1.71235846317615 0.612373565413171 0.753259630601149 1.27784502789713 1.62877969852265 2.07151999264088 3.13292325444148 1.01020102029935 210
"Q" 11.2636422073046 2.92733614887954 6.45569006298507 9.21004121149055 10.9502853385656 13.0453902050428 17.5836582459048 1.00740889764281 310
"deviance" -23.0988983846996 4.48486127994083 -29.8289853895968 -26.4005961837135 -23.7399036865666 -20.4522190437465 -12.7570737789441 1.0046273265583 520
"r_P" 0.543139310100754 0.10537234112913 0.351108802232058 0.470206213368863 0.538029592801012 0.612059004384884 0.756488257967175 1.00774490256049 300
"r_V" 1.66755907543117 0.282340333978228 1.18150825869246 1.46441416009418 1.64674430189384 1.83501828596506 2.28290480221673 1.01111112858058 200
"sigma2_P" 0.0460121557097753 0.00690410424542228 0.0345009698398416 0.0411717636793049 0.0453169090211226 0.0500857781043872 0.0615383204056182 1.00081510389322 6000
"sigma2_V" 0.0545571345284783 0.00809724371289661 0.0408234649139047 0.0490113393244285 0.053741078657201 0.0591931579315746 0.0728613085499225 1.00125759549495 3900
"tau_FR" 17.4077935231766 2.51523938657472 12.7492511486605 15.6926015037286 17.324191296975 18.9892030470976 22.5981119669429 1.00109566728197 5800
