"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.3669","-2.6351"," 1.6649"
"3"," 1.9637","-2.8406"," 2.3117"
"4"," 1.9269","-2.5446"," 2.3106"
"5"," 2.0377","-2.0954"," 2.2354"
"6"," 1.7571","-1.9130"," 2.3018"
"7"," 1.6739","-1.4839"," 1.7475"
"8"," 2.0840","-1.3827"," 2.0945"
"9"," 2.0412","-0.9213"," 2.4428"
"10"," 1.6269","-1.3730"," 2.3261"
"11"," 1.6619","-1.2406"," 1.7990"
"12"," 1.6241","-1.3020"," 2.3940"
"13"," 1.6244","-0.8729"," 2.0255"
"14"," 1.7509","-1.4682"," 2.2274"
"15"," 1.7249","-1.2701"," 2.0713"
"16"," 1.9471","-1.2012"," 2.1380"
"17"," 1.5754","-1.0434"," 1.8426"
"18"," 1.9093","-0.6154"," 2.1808"
"19"," 1.7446","-0.6142"," 1.9811"
"20"," 1.5633","-0.8875"," 2.1805"
"21"," 1.7146","-1.1166"," 2.1828"
"22"," 1.5941","-1.1871"," 2.1146"
"23"," 2.0650","-1.0137"," 2.4279"
"24"," 1.8971","-0.8633"," 2.3174"
"25"," 1.6552","-0.6967"," 2.0691"
"26"," 1.5916","-0.1997"," 2.1126"
"27"," 1.6027","-0.6822"," 1.9859"
"28"," 1.5887","-0.9148"," 2.5646"
"29"," 2.0036","-0.7712"," 2.0687"
"30"," 1.9472","-0.6556"," 2.1707"
"31"," 1.5981","-0.5179"," 2.0837"
"32"," 1.2220","-0.5071"," 1.8939"
"33"," 0.9104","-1.0011"," 1.6584"
"34"," 1.1443","-1.3526"," 1.6922"
"35"," 1.9469","-1.2448"," 2.2302"
"36"," 1.7149","-0.9023"," 2.2889"
"37"," 1.3077","-0.9875"," 1.8460"
"38"," 1.7109","-1.0580"," 2.1814"
"39"," 1.7739","-0.9494"," 2.2257"
"40"," 1.2331","-1.4404"," 1.9397"
"41"," 1.4295","-1.1682"," 1.8694"
"42"," 1.7790","-1.2161"," 2.1397"
"43"," 1.7214","-1.2934"," 2.3469"
"44"," 1.7645","-0.9520"," 2.0058"
"45"," 1.4308","-0.9022"," 2.1118"
"46"," 1.1732","-1.2478"," 2.0069"
"47"," 1.1654","-1.0694"," 2.0158"
"48"," 1.6042","-1.2650"," 1.8091"
"49"," 1.9045","-1.0812"," 1.9356"
"50"," 1.8979","-0.9150"," 1.5756"
"51"," 1.5105","-0.9335"," 1.6453"
"52"," 1.3122","-0.9708"," 1.8987"
"53"," 1.8579","-1.3520"," 2.3590"
"54"," 1.5274","-1.2894"," 2.0561"
"55"," 2.0043","-1.5433"," 2.2596"
"56"," 1.4523","-1.2144"," 1.8924"
"57"," 1.5962","-1.0614"," 2.1219"
"58"," 1.6575","-1.1422"," 1.7457"
"59"," 2.1462","-1.3061"," 2.2255"
"60"," 1.9793","-0.8883"," 2.2670"
"61"," 1.6466","-0.9517"," 1.9529"
"62"," 1.6351","-0.8068"," 1.7528"
"63"," 1.3174","-0.9183"," 1.7083"
"64"," 1.7294","-0.9599"," 2.6119"
"65"," 1.3283","-0.9740"," 2.0384"
"66"," 1.3354","-0.9712"," 2.1042"
"67"," 1.4012","-1.0737"," 2.0685"
"68"," 1.4998","-1.0970"," 1.9114"
"69"," 1.5712","-0.8580"," 1.9692"
"70"," 1.8742","-0.6970"," 2.2594"
"71"," 1.4084","-0.6101"," 1.9499"
"72"," 1.8299","-1.0322"," 1.9249"
"73"," 1.6774","-0.8136"," 2.2073"
"74"," 1.4895","-0.8973"," 1.9077"
"75"," 1.5120","-1.1999"," 2.0435"
"76"," 1.8874","-1.4105"," 2.4939"
"77"," 1.8021","-1.0304"," 2.2463"
"78"," 1.4993","-1.1708"," 1.5933"
"79"," 1.5507","-0.9138"," 2.0323"
"80"," 1.6653","-1.0177"," 2.2538"
"81"," 1.3683","-0.8022"," 2.3594"
"82"," 1.9517","-1.1630"," 1.9762"
"83"," 1.8189","-0.8958"," 2.2527"
"84"," 1.3750","-0.8316"," 1.9832"
"85"," 1.4714","-1.5429"," 1.9432"
"86"," 1.6969","-1.8632"," 1.9412"
"87"," 1.8641","-1.5664"," 2.2639"
"88"," 1.9595","-1.4450"," 2.2671"
"89"," 1.3100","-1.2561"," 1.6771"
"90"," 1.6831","-1.3333"," 2.3214"
"91"," 1.3400","-1.0406"," 1.8680"
"92"," 1.5967","-1.1661"," 2.2560"
"93"," 1.8729","-1.3826"," 2.0952"
"94"," 1.8803","-1.1368"," 1.9116"
"95"," 2.0330","-1.0859"," 2.3070"
"96"," 1.9489","-0.9031"," 2.1936"
"97"," 1.7564","-0.6171"," 2.0039"
"98"," 1.7070","-0.8102"," 2.2576"
"99"," 1.4433","-1.1061"," 2.1997"
"100"," 1.9666","-1.0959"," 2.2679"
