"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.2015","-2.6199"," 2.0956"
"3"," 1.5345","-2.4296"," 2.2074"
"4"," 1.8358","-2.0385"," 2.1767"
"5"," 2.4445","-1.7106"," 2.0064"
"6"," 2.2578","-1.1130"," 2.2167"
"7"," 1.6279","-1.0880"," 2.1478"
"8"," 1.7826","-1.1637"," 2.3555"
"9"," 1.8460","-1.3034"," 2.2076"
"10"," 1.6426","-1.1413"," 2.2564"
"11"," 1.6197","-1.1913"," 2.0585"
"12"," 1.8168","-1.3010"," 1.9645"
"13"," 1.9374","-1.1748"," 2.0793"
"14"," 1.5262","-1.0694"," 2.1410"
"15"," 1.9061","-1.0356"," 2.1877"
"16"," 1.8524","-1.0370"," 2.0056"
"17"," 2.1942","-1.1546"," 2.1558"
"18"," 1.7160","-0.8359"," 2.2979"
"19"," 1.1197","-1.1730"," 1.9697"
"20"," 1.4036","-1.2359"," 2.0354"
"21"," 1.4064","-1.5833"," 2.2037"
"22"," 1.7389","-1.4036"," 2.0278"
"23"," 1.7872","-1.2133"," 1.9900"
"24"," 1.6487","-1.2297"," 2.4181"
"25"," 1.4830","-1.2540"," 2.4301"
"26"," 1.8763","-0.8421"," 2.1786"
"27"," 1.8394","-0.6077"," 2.0286"
"28"," 1.5032","-0.5793"," 2.0354"
"29"," 1.7836","-0.4004"," 2.0678"
"30"," 1.5167","-0.8240"," 2.1364"
"31"," 1.7217","-1.6176"," 2.2998"
"32"," 1.4065","-1.3686"," 1.9925"
"33"," 1.9766","-1.3564"," 2.0789"
"34"," 1.6986","-1.3793"," 2.0601"
"35"," 1.3081","-1.3286"," 1.6209"
"36"," 1.6638","-0.9619"," 2.3604"
"37"," 2.0841","-1.0826"," 1.8921"
"38"," 1.8574","-1.2051"," 2.2395"
"39"," 1.6963","-1.3716"," 2.0288"
"40"," 1.5467","-1.2476"," 2.1003"
"41"," 1.6760","-1.3366"," 2.2185"
"42"," 1.4268","-1.3665"," 2.0366"
"43"," 1.6785","-1.6279"," 1.4363"
"44"," 1.9259","-1.4499"," 2.4699"
"45"," 1.7353","-0.8957"," 2.5815"
"46"," 1.3590","-0.9403"," 2.1918"
"47"," 1.3281","-1.0234"," 2.0070"
"48"," 1.4483","-1.4124"," 1.7807"
"49"," 1.7726","-1.4446"," 2.1743"
"50"," 1.9766","-1.4381"," 2.0712"
"51"," 1.8777","-1.1998"," 2.1152"
"52"," 1.8739","-0.9966"," 2.1961"
"53"," 1.4638","-0.9124"," 2.3733"
"54"," 1.5595","-1.5328"," 2.0656"
"55"," 1.7376","-1.2657"," 2.0637"
"56"," 1.5505","-1.2556"," 1.7934"
"57"," 1.8994","-1.3176"," 1.8678"
"58"," 2.1137","-1.0725"," 2.2985"
"59"," 1.6718","-0.7821"," 2.0127"
"60"," 1.8569","-0.8917"," 1.7861"
"61"," 1.9424","-0.9643"," 2.5684"
"62"," 1.9199","-0.9393"," 2.0134"
"63"," 1.4933","-0.9807"," 1.8569"
"64"," 1.4989","-1.5942"," 1.7605"
"65"," 1.6293","-1.6134"," 1.6645"
"66"," 1.9732","-1.1380"," 2.0574"
"67"," 1.8358","-1.1830"," 1.8879"
"68"," 1.7399","-0.8469"," 1.9214"
"69"," 1.7860","-0.6242"," 2.3124"
"70"," 1.8834","-0.5088"," 2.3450"
"71"," 1.4867","-0.8896"," 2.3360"
"72"," 1.7559","-0.8270"," 2.6129"
"73"," 1.8725","-0.6962"," 1.9440"
"74"," 1.5422","-0.5758"," 2.0180"
"75"," 1.8548","-0.8517"," 1.7911"
"76"," 2.0296","-0.3971"," 2.0747"
"77"," 1.6381","-0.3805"," 2.0046"
"78"," 1.2073","-0.7388"," 2.1672"
"79"," 1.2617","-1.1030"," 2.3366"
"80"," 1.8853","-1.2500"," 1.8721"
"81"," 1.5354","-0.9331"," 2.0499"
"82"," 1.4554","-1.1139"," 1.5424"
"83"," 1.8757","-0.8833"," 2.0583"
"84"," 1.5259","-0.9596"," 1.9293"
"85"," 1.7304","-1.0977"," 2.2922"
"86"," 1.5485","-0.8315"," 2.1186"
"87"," 1.4392","-1.4371"," 2.1466"
"88"," 1.7966","-1.2037"," 2.3461"
"89"," 1.8998","-1.1431"," 2.3817"
"90"," 1.9712","-1.0953"," 1.9444"
"91"," 1.8700","-1.2352"," 2.2389"
"92"," 2.0437","-1.0123"," 2.0210"
"93"," 2.0042","-0.7960"," 2.3111"
"94"," 1.7217","-0.5557"," 2.0656"
"95"," 1.6323","-0.6725"," 2.6118"
"96"," 1.4325","-0.9746"," 1.9738"
"97"," 1.9659","-1.0238"," 2.1982"
"98"," 1.6685","-1.2317"," 1.8594"
"99"," 1.7575","-1.0779"," 2.4236"
"100"," 1.6280","-0.7849"," 2.3327"
