"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.1778","-2.4491"," 2.1618"
"3"," 1.7506","-2.1052"," 2.0437"
"4"," 1.6909","-1.9800"," 1.7495"
"5"," 1.3050","-1.7629"," 1.9654"
"6"," 1.9905","-2.1129"," 2.2318"
"7"," 1.9259","-2.0802"," 2.4959"
"8"," 1.6901","-1.9655"," 2.4339"
"9"," 1.8232","-1.0810"," 2.1198"
"10"," 1.8468","-1.4064"," 2.2853"
"11"," 1.3593","-1.2256"," 1.8067"
"12"," 1.6950","-1.2537"," 2.2639"
"13"," 1.6473","-1.3810"," 2.0939"
"14"," 1.7672","-1.0397"," 1.7949"
"15"," 1.4964","-0.9292"," 2.1939"
"16"," 1.9098","-1.2367"," 1.9160"
"17"," 1.6368","-0.8671"," 2.2564"
"18"," 1.4913","-1.0083"," 2.0837"
"19"," 1.8733","-0.9127"," 2.4434"
"20"," 1.9689","-0.9003"," 2.3970"
"21"," 1.6454","-0.7580"," 2.2207"
"22"," 1.6257","-0.7164"," 1.7958"
"23"," 1.4481","-0.8578"," 2.1280"
"24"," 1.6878","-0.6460"," 1.9000"
"25"," 1.5432","-1.1226"," 2.2144"
"26"," 1.7149","-1.3866"," 1.9459"
"27"," 1.9142","-1.1924"," 2.1013"
"28"," 1.6674","-0.7552"," 1.8963"
"29"," 1.8483","-1.0711"," 2.4558"
"30"," 1.9639","-0.7486"," 2.0120"
"31"," 1.7815","-0.9962"," 1.8927"
"32"," 1.7990","-1.7063"," 2.1272"
"33"," 1.4483","-1.3336"," 2.4394"
"34"," 1.2506","-1.6376"," 1.6808"
"35"," 1.6093","-1.3553"," 2.5572"
"36"," 2.0939","-0.9112"," 2.1151"
"37"," 1.6499","-1.0802"," 1.9511"
"38"," 1.8287","-1.1721"," 2.3647"
"39"," 1.7072","-0.4549"," 2.3065"
"40"," 2.0001","-0.5246"," 2.3515"
"41"," 1.5999","-0.5549"," 1.9544"
"42"," 1.5188","-0.8135"," 2.1649"
"43"," 1.5205","-0.9265"," 1.6548"
"44"," 1.7060","-1.2912"," 2.1546"
"45"," 1.7733","-1.2089"," 1.9556"
"46"," 1.5476","-1.1904"," 1.8380"
"47"," 1.6536","-1.3460"," 1.7183"
"48"," 1.6218","-1.3160"," 1.9156"
"49"," 1.6384","-1.0815"," 1.8432"
"50"," 1.6437","-1.1111"," 2.3227"
"51"," 1.9032","-0.9958"," 2.4340"
"52"," 2.0252","-1.0096"," 2.3997"
"53"," 1.8997","-0.8813"," 2.0296"
"54"," 1.5498","-0.8137"," 2.1909"
"55"," 1.7192","-1.2716"," 2.3613"
"56"," 1.7764","-0.8608"," 2.0496"
"57"," 1.5738","-0.3296"," 1.9584"
"58"," 1.5919","-0.8072"," 2.5190"
"59"," 1.2518","-0.8042"," 2.0046"
"60"," 1.5585","-1.1789"," 2.3753"
"61"," 1.2391","-1.4712"," 2.0257"
"62"," 0.9668","-1.0641"," 2.2443"
"63"," 1.4034","-1.4261"," 2.0223"
"64"," 1.8147","-1.6107"," 2.1363"
"65"," 1.7419","-1.4322"," 2.3619"
"66"," 1.4560","-1.3481"," 1.3692"
"67"," 1.7552","-1.0390"," 2.0789"
"68"," 1.7824","-0.9537"," 2.4836"
"69"," 1.7790","-0.8561"," 1.9815"
"70"," 1.8436","-0.8525"," 2.3772"
"71"," 1.6742","-0.6905"," 2.0762"
"72"," 1.7802","-0.8950"," 2.3265"
"73"," 1.4197","-0.9850"," 2.0477"
"74"," 1.5237","-1.1919"," 2.2745"
"75"," 1.8584","-1.5444"," 2.4316"
"76"," 1.5798","-1.4904"," 2.1420"
"77"," 1.6967","-1.2659"," 2.2493"
"78"," 1.5670","-1.3804"," 2.3741"
"79"," 1.7634","-0.9802"," 1.9875"
"80"," 1.6248","-0.9610"," 2.0483"
"81"," 1.7192","-0.9469"," 1.8603"
"82"," 1.6541","-0.8754"," 2.1448"
"83"," 1.6674","-1.1245"," 1.8305"
"84"," 1.8374","-0.9191"," 2.1794"
"85"," 1.4431","-0.9277"," 2.1788"
"86"," 1.4142","-0.6734"," 2.1486"
"87"," 1.5878","-1.4427"," 2.2117"
"88"," 1.4565","-1.0120"," 1.9226"
"89"," 1.6506","-1.1495"," 1.9258"
"90"," 1.5048","-1.4893"," 1.8095"
"91"," 1.7785","-1.4873"," 1.9296"
"92"," 1.7817","-1.2016"," 1.9562"
"93"," 1.6551","-1.4662"," 2.2904"
"94"," 1.6189","-1.4115"," 2.0303"
"95"," 1.3879","-1.0930"," 2.2916"
"96"," 1.6190","-1.2477"," 2.0513"
"97"," 1.8208","-1.1821"," 2.4448"
"98"," 1.6214","-1.3264"," 1.9502"
"99"," 1.9760","-1.1638"," 2.4216"
"100"," 1.7108","-0.8420"," 2.0677"
