"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.2511","-2.5346"," 1.8992"
"3"," 1.2466","-2.0227"," 2.3661"
"4"," 1.3444","-1.7863"," 1.8932"
"5"," 1.9743","-1.9197"," 2.6027"
"6"," 1.9984","-1.3164"," 2.3644"
"7"," 1.5697","-1.4021"," 1.8848"
"8"," 2.0214","-1.3275"," 1.8667"
"9"," 1.4673","-1.0295"," 1.9610"
"10"," 1.6050","-1.0634"," 1.9848"
"11"," 1.3293","-1.3301"," 1.7787"
"12"," 1.9444","-1.5119"," 2.3832"
"13"," 1.7680","-1.1357"," 1.7200"
"14"," 1.8516","-0.9776"," 2.3264"
"15"," 1.3042","-1.1608"," 1.6083"
"16"," 1.7728","-1.2129"," 2.4843"
"17"," 1.2280","-1.1394"," 2.0024"
"18"," 1.4562","-1.0547"," 1.8194"
"19"," 1.8918","-1.0610"," 2.2519"
"20"," 2.1082","-0.9239"," 2.2239"
"21"," 1.8617","-0.7965"," 2.1447"
"22"," 1.6469","-0.8738"," 2.1673"
"23"," 1.8238","-0.9726"," 2.2381"
"24"," 1.8154","-0.5735"," 1.6412"
"25"," 1.2563","-0.7335"," 2.2092"
"26"," 1.3311","-1.3306"," 2.0964"
"27"," 1.8376","-1.1005"," 2.0729"
"28"," 1.8256","-1.0562"," 2.4074"
"29"," 1.8720","-0.9829"," 2.0542"
"30"," 1.6004","-1.4093"," 1.9797"
"31"," 1.7584","-1.4027"," 2.3678"
"32"," 1.9577","-1.1769"," 2.2495"
"33"," 1.3502","-1.0329"," 1.6690"
"34"," 1.8059","-1.2899"," 2.3024"
"35"," 1.7354","-1.4413"," 2.1238"
"36"," 1.5688","-0.7540"," 2.0588"
"37"," 1.2802","-1.0325"," 1.5329"
"38"," 1.5195","-1.1482"," 1.9171"
"39"," 1.6621","-1.1782"," 1.7104"
"40"," 1.9520","-0.8696"," 2.3453"
"41"," 1.9221","-0.9029"," 2.2815"
"42"," 1.9095","-1.2810"," 2.4587"
"43"," 1.9995","-1.0660"," 1.9170"
"44"," 1.6026","-0.9003"," 2.1181"
"45"," 1.5858","-0.9974"," 2.1541"
"46"," 1.6553","-0.8819"," 2.0457"
"47"," 1.7587","-1.0232"," 1.8576"
"48"," 1.7411","-0.8119"," 2.0188"
"49"," 1.9436","-0.8864"," 2.2995"
"50"," 1.8316","-0.4915"," 1.8222"
"51"," 1.7075","-0.5542"," 2.2242"
"52"," 1.3190","-0.8493"," 1.6423"
"53"," 1.7785","-1.1438"," 2.1818"
"54"," 1.2789","-0.9414"," 1.8037"
"55"," 1.6745","-0.8268"," 2.0167"
"56"," 2.0629","-1.0044"," 2.6910"
"57"," 1.9432","-1.0451"," 2.0001"
"58"," 1.6573","-0.8993"," 2.0284"
"59"," 1.6577","-1.0359"," 2.3136"
"60"," 1.8409","-1.1829"," 2.1754"
"61"," 1.4635","-1.0002"," 2.0934"
"62"," 1.4143","-0.9146"," 2.0030"
"63"," 1.8279","-0.9379"," 1.8072"
"64"," 1.7945","-1.0370"," 1.9818"
"65"," 1.4617","-1.0100"," 2.4182"
"66"," 1.6824","-1.2918"," 2.0412"
"67"," 1.5704","-1.1879"," 2.0027"
"68"," 1.6646","-1.3890"," 1.9369"
"69"," 1.7601","-1.2097"," 1.9611"
"70"," 1.5566","-1.3118"," 1.8544"
"71"," 1.5438","-1.1926"," 1.8386"
"72"," 1.6447","-1.1061"," 2.1366"
"73"," 1.8971","-1.1594"," 2.2328"
"74"," 1.5112","-0.8385"," 2.0275"
"75"," 1.8045","-1.0756"," 2.2732"
"76"," 1.9668","-1.5916"," 2.4659"
"77"," 1.6466","-1.3840"," 2.4293"
"78"," 1.6693","-1.2649"," 1.9667"
"79"," 1.7606","-1.3841"," 1.6532"
"80"," 1.7094","-0.9981"," 2.2238"
"81"," 1.7880","-0.9743"," 2.1782"
"82"," 1.5507","-1.1916"," 1.9398"
"83"," 1.8183","-1.0719"," 1.6214"
"84"," 1.6877","-1.0169"," 2.0689"
"85"," 1.8961","-0.6875"," 2.3334"
"86"," 2.2140","-0.7186"," 1.7369"
"87"," 1.8617","-1.0093"," 2.2207"
"88"," 1.7840","-0.9967"," 2.2076"
"89"," 1.7689","-0.9386"," 2.0410"
"90"," 1.6678","-1.1144"," 2.1031"
"91"," 1.3854","-1.2381"," 2.6677"
"92"," 1.8908","-1.2226"," 2.1766"
"93"," 1.7082","-1.1974"," 2.2000"
"94"," 1.7966","-1.1531"," 2.2431"
"95"," 1.7349","-1.1516"," 2.0720"
"96"," 1.6437","-1.1425"," 1.4647"
"97"," 1.7911","-1.0643"," 2.2790"
"98"," 1.7513","-1.2449"," 2.1058"
"99"," 1.3299","-1.5999"," 2.2886"
"100"," 1.5358","-1.8248"," 2.0584"
