"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 0.9706","-2.7846"," 1.8265"
"3"," 1.4883","-2.5499"," 2.0671"
"4"," 1.9253","-2.3848"," 1.9950"
"5"," 2.0228","-1.7706"," 2.0198"
"6"," 1.4775","-1.3638"," 1.7475"
"7"," 1.4037","-1.3116"," 2.3004"
"8"," 1.4746","-1.3526"," 1.8229"
"9"," 1.6377","-1.8545"," 1.8956"
"10"," 1.7448","-1.3986"," 2.2055"
"11"," 1.7834","-1.6316"," 2.0002"
"12"," 1.7534","-1.7662"," 1.7268"
"13"," 1.5100","-1.5411"," 1.9410"
"14"," 1.4846","-1.0818"," 2.2096"
"15"," 1.1900","-0.7541"," 1.8763"
"16"," 1.2487","-1.0833"," 2.0682"
"17"," 1.4547","-1.2954"," 2.1271"
"18"," 1.8598","-1.2096"," 2.4207"
"19"," 1.5211","-1.0173"," 2.0799"
"20"," 1.9694","-0.9552"," 2.2646"
"21"," 1.4309","-0.7729"," 1.9124"
"22"," 1.3220","-0.7126"," 1.9408"
"23"," 1.1432","-0.8545"," 1.7624"
"24"," 1.4000","-1.3612"," 1.7574"
"25"," 1.9156","-1.2412"," 2.3761"
"26"," 1.9213","-1.1585"," 2.3692"
"27"," 2.0548","-1.0940"," 2.1884"
"28"," 1.9970","-1.3154"," 2.0515"
"29"," 2.2493","-1.4015"," 2.4516"
"30"," 2.0412","-1.1272"," 2.3400"
"31"," 1.5233","-1.0809"," 1.9893"
"32"," 1.6561","-1.1183"," 2.3434"
"33"," 1.6799","-1.0810"," 2.2111"
"34"," 1.5049","-1.1297"," 2.2051"
"35"," 1.5873","-1.2383"," 1.9136"
"36"," 1.5610","-1.4788"," 1.8456"
"37"," 1.6640","-1.4296"," 2.4615"
"38"," 1.4659","-1.4499"," 2.0918"
"39"," 1.8246","-1.2909"," 2.4984"
"40"," 1.8157","-0.9355"," 1.8141"
"41"," 1.6955","-0.9557"," 2.1775"
"42"," 1.5926","-1.1138"," 1.9369"
"43"," 1.6408","-1.3167"," 2.4240"
"44"," 1.6928","-1.2584"," 2.0664"
"45"," 1.7708","-1.4439"," 1.9552"
"46"," 2.1188","-1.0346"," 2.4358"
"47"," 1.6143","-0.9987"," 2.5195"
"48"," 1.5365","-1.1472"," 2.2146"
"49"," 1.5484","-1.4738"," 2.0597"
"50"," 1.3817","-1.3096"," 2.2168"
"51"," 1.6581","-1.1234"," 2.5051"
"52"," 1.6118","-1.1057"," 1.9093"
"53"," 1.5600","-1.4780"," 2.2475"
"54"," 1.8955","-1.2614"," 1.7868"
"55"," 1.9034","-1.2483"," 2.1689"
"56"," 2.0093","-1.6958"," 2.2179"
"57"," 1.6986","-1.1539"," 2.0378"
"58"," 1.4824","-1.1047"," 2.0306"
"59"," 1.6201","-0.8632"," 1.8846"
"60"," 1.7239","-1.0453"," 2.1752"
"61"," 1.9291","-0.9928"," 2.4371"
"62"," 1.8355","-0.6122"," 1.6335"
"63"," 2.0616","-0.8293"," 1.9522"
"64"," 2.2014","-0.4555"," 2.4343"
"65"," 1.7796","-0.4060"," 2.0132"
"66"," 1.4626","-0.6074"," 1.8024"
"67"," 1.9380","-1.3638"," 2.0872"
"68"," 1.7794","-0.9529"," 2.1741"
"69"," 1.6297","-0.8213"," 2.0095"
"70"," 1.5150","-0.8341"," 2.2669"
"71"," 1.6217","-0.6930"," 1.9935"
"72"," 1.6204","-0.9942"," 2.0920"
"73"," 2.1314","-1.1799"," 2.4780"
"74"," 1.8031","-1.0675"," 2.0899"
"75"," 1.5756","-1.1361"," 2.2372"
"76"," 1.4477","-1.2731"," 2.0237"
"77"," 1.3683","-1.5288"," 2.0978"
"78"," 1.5690","-1.3648"," 2.1983"
"79"," 1.6899","-1.3439"," 2.6921"
"80"," 1.5178","-1.0123"," 1.9350"
"81"," 1.4303","-1.3501"," 2.0402"
"82"," 1.4710","-1.1689"," 1.8539"
"83"," 1.5627","-1.2606"," 1.6910"
"84"," 2.0139","-1.1006"," 2.1879"
"85"," 1.9810","-1.4919"," 2.0195"
"86"," 1.9367","-1.1632"," 1.8988"
"87"," 1.8491","-1.2921"," 2.4938"
"88"," 1.5737","-1.1620"," 2.2653"
"89"," 1.7789","-1.3545"," 2.1902"
"90"," 1.9431","-1.2979"," 2.2917"
"91"," 1.9755","-1.4452"," 1.9994"
"92"," 1.9556","-1.5516"," 2.3936"
"93"," 1.9994","-1.3514"," 2.4595"
"94"," 1.4171","-1.0748"," 1.7215"
"95"," 1.6783","-1.2984"," 2.1087"
"96"," 2.0493","-1.1415"," 2.3362"
"97"," 1.6054","-0.8424"," 1.7372"
"98"," 1.4031","-0.9028"," 1.6842"
"99"," 1.6317","-1.2708"," 2.1947"
"100"," 1.7636","-1.0676"," 1.9875"
