"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 0.8277","-2.6703"," 1.6242"
"3"," 1.6892","-2.3465"," 1.9614"
"4"," 1.8890","-2.4503"," 2.2741"
"5"," 1.7423","-2.0333"," 1.9912"
"6"," 2.2481","-1.3384"," 2.2938"
"7"," 1.6243","-0.9616"," 1.9958"
"8"," 1.4928","-1.2315"," 2.0361"
"9"," 1.9317","-1.2513"," 2.0303"
"10"," 1.7837","-0.6859"," 1.9550"
"11"," 1.5167","-0.6773"," 2.2068"
"12"," 1.2934","-0.8653"," 2.0912"
"13"," 1.2451","-1.2905"," 1.9432"
"14"," 1.5960","-1.3052"," 1.9502"
"15"," 1.7736","-1.4988"," 2.1390"
"16"," 2.0469","-1.6185"," 2.0370"
"17"," 2.2058","-1.1589"," 1.8187"
"18"," 2.3098","-1.1545"," 2.2783"
"19"," 1.9158","-0.9930"," 2.1267"
"20"," 1.7256","-1.0404"," 2.2362"
"21"," 1.7937","-0.8224"," 2.1673"
"22"," 1.6757","-0.9832"," 2.4635"
"23"," 1.8485","-1.0402"," 2.3846"
"24"," 1.9007","-0.6821"," 2.0697"
"25"," 1.4405","-0.8739"," 2.0640"
"26"," 1.5481","-1.6087"," 1.8253"
"27"," 1.4893","-1.3295"," 2.3690"
"28"," 2.1514","-1.4718"," 1.8083"
"29"," 2.3149","-1.1708"," 1.8961"
"30"," 1.8406","-0.7159"," 2.1098"
"31"," 2.1957","-0.6895"," 2.0422"
"32"," 1.6297","-0.7360"," 2.1275"
"33"," 1.9254","-1.1816"," 1.8441"
"34"," 1.5254","-0.8867"," 2.1830"
"35"," 1.4671","-0.8570"," 1.8089"
"36"," 1.5794","-1.1088"," 2.3133"
"37"," 1.5186","-0.6280"," 1.9476"
"38"," 1.6778","-1.3631"," 2.1778"
"39"," 1.9685","-1.4095"," 2.0056"
"40"," 1.6553","-1.1185"," 2.5294"
"41"," 1.6873","-0.9962"," 1.9910"
"42"," 1.2502","-0.9213"," 1.7015"
"43"," 1.5117","-1.3342"," 2.1168"
"44"," 1.8954","-1.3334"," 2.5463"
"45"," 1.7872","-1.1430"," 2.2854"
"46"," 1.6856","-0.8407"," 2.3191"
"47"," 1.5158","-1.0979"," 1.9697"
"48"," 1.4798","-0.7198"," 2.3680"
"49"," 1.4252","-1.3123"," 2.3384"
"50"," 1.3229","-1.0429"," 1.9893"
"51"," 1.6999","-0.9012"," 1.5540"
"52"," 1.5582","-0.6971"," 2.1022"
"53"," 1.7365","-1.1171"," 2.2625"
"54"," 1.9205","-0.9168"," 1.9873"
"55"," 1.4630","-1.1723"," 2.0573"
"56"," 1.6458","-1.2420"," 2.1839"
"57"," 1.4712","-1.2887"," 2.4358"
"58"," 1.4033","-1.5733"," 1.6972"
"59"," 2.1090","-1.2316"," 2.1012"
"60"," 1.5792","-0.8584"," 1.9310"
"61"," 1.4212","-1.0518"," 2.0042"
"62"," 1.5604","-1.1870"," 1.6688"
"63"," 2.0111","-1.1708"," 2.0279"
"64"," 1.8234","-1.1220"," 2.3623"
"65"," 1.9643","-1.3131"," 2.2068"
"66"," 2.0367","-1.3463"," 1.9642"
"67"," 2.2028","-1.0712"," 2.3204"
"68"," 1.8456","-0.7785"," 2.0721"
"69"," 1.1285","-0.6296"," 1.9600"
"70"," 1.1050","-1.4124"," 1.4492"
"71"," 0.9194","-1.3116"," 1.6919"
"72"," 1.3086","-1.3666"," 1.6953"
"73"," 1.7729","-1.4830"," 2.2028"
"74"," 1.6350","-0.9725"," 2.0768"
"75"," 1.7235","-0.6055"," 2.2374"
"76"," 1.5254","-1.0492"," 2.1568"
"77"," 1.8037","-0.8239"," 2.0325"
"78"," 1.7610","-1.1880"," 2.3543"
"79"," 1.9750","-1.5130"," 2.4481"
"80"," 1.9948","-0.9910"," 2.2235"
"81"," 1.6795","-1.2346"," 2.2501"
"82"," 1.6914","-1.1520"," 2.2305"
"83"," 1.5621","-0.9976"," 2.7646"
"84"," 1.3157","-1.2032"," 1.6158"
"85"," 1.7924","-1.0427"," 2.1303"
"86"," 1.5140","-1.1625"," 2.3317"
"87"," 1.5684","-1.0173"," 2.1141"
"88"," 1.8026","-0.9945"," 2.0410"
"89"," 1.6201","-0.8156"," 2.3249"
"90"," 1.6271","-0.8099"," 1.7543"
"91"," 1.6364","-0.6672"," 2.2460"
"92"," 1.5048","-0.8279"," 2.5682"
"93"," 1.4343","-1.1221"," 1.9418"
"94"," 1.7782","-0.8524"," 2.3980"
"95"," 1.7318","-0.9525"," 1.9366"
"96"," 1.7349","-1.0208"," 2.4077"
"97"," 1.4155","-1.1535"," 1.6410"
"98"," 1.5374","-1.2943"," 1.7710"
"99"," 1.7387","-1.7491"," 2.2988"
"100"," 1.7566","-1.3693"," 1.8971"
