"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.2361","-2.4224"," 2.1336"
"3"," 1.6519","-2.2961"," 2.2103"
"4"," 1.8539","-2.1970"," 2.1989"
"5"," 2.0333","-1.7582"," 2.1215"
"6"," 1.9465","-1.5861"," 2.3093"
"7"," 1.8035","-1.0836"," 2.2068"
"8"," 1.5355","-1.4017"," 2.0017"
"9"," 1.9198","-1.4712"," 2.1903"
"10"," 1.6727","-1.4412"," 2.2117"
"11"," 1.7033","-1.4750"," 2.1571"
"12"," 1.9023","-1.2891"," 1.6671"
"13"," 1.8404","-1.3397"," 2.2674"
"14"," 1.7226","-1.4496"," 2.3323"
"15"," 1.7129","-1.2817"," 2.1059"
"16"," 1.7594","-0.7805"," 1.9482"
"17"," 1.7584","-0.6643"," 1.8886"
"18"," 1.7595","-1.1385"," 1.5928"
"19"," 1.6246","-1.1829"," 2.3594"
"20"," 1.9577","-1.3591"," 2.3580"
"21"," 1.6529","-1.1968"," 2.0162"
"22"," 1.9476","-1.0434"," 2.1753"
"23"," 2.0329","-1.4722"," 2.4879"
"24"," 1.7178","-1.4316"," 2.3591"
"25"," 2.0608","-1.2833"," 2.5184"
"26"," 1.7478","-0.9419"," 1.9899"
"27"," 2.0511","-1.2544"," 2.1619"
"28"," 1.2561","-1.3128"," 1.8200"
"29"," 1.4350","-1.0208"," 1.6615"
"30"," 1.7588","-0.8967"," 2.3366"
"31"," 2.0821","-0.6345"," 2.4652"
"32"," 1.5262","-0.6295"," 2.1143"
"33"," 1.3268","-0.7035"," 2.3460"
"34"," 1.1953","-1.0465"," 1.9281"
"35"," 1.7659","-1.0314"," 2.2809"
"36"," 1.6218","-1.0601"," 2.1879"
"37"," 1.5712","-1.3604"," 1.8564"
"38"," 1.6626","-1.2093"," 2.7407"
"39"," 1.6736","-0.9916"," 2.2279"
"40"," 1.5477","-0.7894"," 1.8239"
"41"," 1.5573","-1.1857"," 1.9981"
"42"," 1.9574","-1.6609"," 2.1610"
"43"," 1.7059","-1.3744"," 2.1296"
"44"," 1.2894","-1.3772"," 2.0239"
"45"," 2.1273","-1.4336"," 2.1591"
"46"," 1.8233","-1.4728"," 1.9237"
"47"," 1.8871","-1.5124"," 2.5076"
"48"," 1.5548","-1.1811"," 1.7322"
"49"," 1.8088","-1.1594"," 2.1807"
"50"," 1.4853","-1.0794"," 2.3604"
"51"," 1.3144","-0.8333"," 2.3975"
"52"," 1.2931","-1.3426"," 1.7413"
"53"," 1.7571","-1.4202"," 2.0038"
"54"," 1.7240","-0.9856"," 1.8239"
"55"," 1.9873","-0.8235"," 2.1248"
"56"," 1.5756","-0.7812"," 2.0253"
"57"," 1.7122","-0.8630"," 2.0894"
"58"," 1.6171","-0.9822"," 1.7310"
"59"," 1.4402","-1.0019"," 1.8002"
"60"," 1.7244","-1.5102"," 1.8901"
"61"," 1.9704","-1.7070"," 1.9822"
"62"," 1.6475","-1.4641"," 1.9507"
"63"," 1.7798","-1.0487"," 2.4080"
"64"," 1.4215","-1.0072"," 1.6596"
"65"," 1.5474","-1.0671"," 1.9281"
"66"," 1.1161","-1.1830"," 1.8268"
"67"," 1.0926","-1.7431"," 2.3608"
"68"," 1.5076","-1.6189"," 1.7616"
"69"," 2.0629","-1.4398"," 2.2826"
"70"," 1.7529","-1.2011"," 2.0752"
"71"," 1.9546","-1.3910"," 2.1848"
"72"," 2.1450","-1.2979"," 2.1445"
"73"," 1.5645","-0.8844"," 2.1056"
"74"," 1.6830","-1.2120"," 1.9779"
"75"," 1.2823","-1.0942"," 2.4143"
"76"," 1.5675","-1.2026"," 1.7850"
"77"," 1.5949","-1.6060"," 1.9653"
"78"," 1.6124","-1.8213"," 2.4441"
"79"," 1.8220","-1.5777"," 2.2909"
"80"," 1.7318","-1.6991"," 2.1342"
"81"," 2.2395","-1.4204"," 2.4471"
"82"," 1.9553","-1.0402"," 2.1904"
"83"," 1.9989","-1.0459"," 2.3882"
"84"," 1.6199","-0.9720"," 1.9208"
"85"," 2.0681","-1.3668"," 2.5477"
"86"," 2.0242","-1.3493"," 2.1700"
"87"," 1.7617","-0.9499"," 1.9147"
"88"," 1.7762","-0.9317"," 2.3711"
"89"," 1.5679","-0.8321"," 1.9992"
"90"," 1.4208","-0.9156"," 1.6584"
"91"," 1.1501","-1.2654"," 2.0129"
"92"," 1.6418","-1.0678"," 2.0780"
"93"," 1.3916","-1.1081"," 1.4940"
"94"," 1.6761","-1.2100"," 2.2015"
"95"," 1.9502","-0.7371"," 2.4498"
"96"," 1.8472","-0.7669"," 2.1141"
"97"," 1.5557","-0.6801"," 2.0854"
"98"," 1.8030","-1.1924"," 2.2450"
"99"," 2.1944","-1.3762"," 2.1005"
"100"," 2.1214","-1.0564"," 2.3377"
