"","","","FR"
"1"," 0.0377","-2.3026"," 1.2500"
"2"," 1.2389","-2.2424"," 2.3450"
"3"," 1.7363","-1.9448"," 2.0109"
"4"," 1.5938","-1.1174"," 2.1509"
"5"," 1.5361","-1.2426"," 1.9127"
"6"," 1.8141","-1.1043"," 2.2410"
"7"," 1.4920","-0.9371"," 2.3649"
"8"," 1.6353","-1.0854"," 2.2886"
"9"," 1.3250","-1.1481"," 1.8829"
"10"," 1.7124","-1.3891"," 2.7647"
"11"," 1.5606","-1.1387"," 1.8828"
"12"," 2.0360","-1.2152"," 2.3863"
"13"," 1.7019","-1.0238"," 1.9352"
"14"," 1.7711","-0.8782"," 1.8131"
"15"," 2.0676","-1.1381"," 2.4030"
"16"," 1.7035","-0.7643"," 1.9144"
"17"," 2.0032","-0.5216"," 2.1311"
"18"," 1.6900","-0.6701"," 2.2918"
"19"," 1.4417","-1.1163"," 1.8982"
"20"," 1.6493","-1.0306"," 1.8783"
"21"," 1.3968","-0.7939"," 1.9064"
"22"," 1.1773","-0.8977"," 1.8998"
"23"," 1.5160","-1.1923"," 2.0019"
"24"," 1.8151","-0.9396"," 2.0134"
"25"," 1.5136","-0.9126"," 1.8898"
"26"," 1.7879","-0.9935"," 2.0297"
"27"," 2.0528","-0.9562"," 2.2681"
"28"," 2.0586","-0.8282"," 2.3423"
"29"," 1.9255","-0.9301"," 2.0282"
"30"," 1.9709","-0.7032"," 2.4861"
"31"," 1.6402","-0.6565"," 1.8354"
"32"," 1.8546","-0.9750"," 2.3324"
"33"," 1.6130","-1.0111"," 2.2425"
"34"," 1.4564","-1.0724"," 1.7582"
"35"," 1.6674","-1.1958"," 2.5516"
"36"," 1.6223","-1.4034"," 2.1223"
"37"," 1.4780","-1.1935"," 2.0659"
"38"," 1.4439","-1.1212"," 2.0112"
"39"," 1.9410","-1.2623"," 1.7796"
"40"," 1.6765","-1.0118"," 2.3326"
"41"," 2.0798","-1.1140"," 2.0034"
"42"," 1.6477","-1.0715"," 2.4941"
"43"," 1.7658","-0.7044"," 2.4656"
"44"," 1.5261","-0.7349"," 1.7851"
"45"," 1.3123","-0.9245"," 1.8318"
"46"," 1.5212","-0.7785"," 1.7112"
"47"," 1.6473","-0.7663"," 2.1196"
"48"," 1.7468","-0.9144"," 2.4289"
"49"," 1.7633","-0.8765"," 1.8864"
"50"," 1.9939","-1.1024"," 2.7217"
"51"," 1.6771","-1.2312"," 2.0472"
"52"," 1.4298","-1.4555"," 2.3226"
"53"," 1.5485","-1.5836"," 2.1012"
"54"," 1.6005","-1.6737"," 2.5349"
"55"," 1.5880","-1.3363"," 2.9266"
"56"," 1.9423","-1.5793"," 1.9714"
"57"," 1.9677","-1.1407"," 2.3870"
"58"," 1.8010","-1.0227"," 2.0065"
"59"," 1.8133","-1.0929"," 2.1967"
"60"," 1.7665","-0.9810"," 2.0072"
"61"," 1.7089","-0.7856"," 1.6053"
"62"," 1.6709","-1.2866"," 2.1188"
"63"," 1.6132","-1.4051"," 1.9917"
"64"," 1.4911","-1.2143"," 1.9227"
"65"," 1.7883","-0.9425"," 2.2699"
"66"," 1.8634","-1.1389"," 2.0562"
"67"," 1.6667","-1.1094"," 2.3332"
"68"," 1.8543","-1.0692"," 2.4598"
"69"," 1.3633","-1.0614"," 2.0464"
"70"," 1.8996","-1.1774"," 1.8835"
"71"," 1.6252","-0.9292"," 2.1206"
"72"," 1.6708","-0.8462"," 2.1876"
"73"," 1.9830","-0.7672"," 2.1754"
"74"," 1.8157","-0.8877"," 2.5819"
"75"," 1.7291","-0.6259"," 1.9902"
"76"," 1.5174","-0.9230"," 1.9097"
"77"," 1.8395","-0.6730"," 2.6319"
"78"," 1.3950","-0.6280"," 2.0780"
"79"," 1.5895","-1.0746"," 2.0878"
"80"," 1.6088","-1.1543"," 2.0383"
"81"," 1.5838","-1.0180"," 2.2009"
"82"," 1.0948","-1.0420"," 1.4991"
"83"," 1.4761","-1.2290"," 2.1957"
"84"," 1.3968","-1.0945"," 1.6980"
"85"," 1.7603","-1.2964"," 2.3495"
"86"," 1.7195","-1.0343"," 2.1293"
"87"," 1.7175","-1.3110"," 2.1216"
"88"," 1.8145","-1.4671"," 1.9707"
"89"," 1.9315","-1.4387"," 2.1286"
"90"," 1.8576","-1.3857"," 2.1864"
"91"," 1.7333","-1.6042"," 2.0037"
"92"," 1.7774","-1.3342"," 2.1099"
"93"," 1.6720","-0.8334"," 1.7580"
"94"," 1.5699","-0.9978"," 1.6812"
"95"," 1.4235","-1.3222"," 2.0022"
"96"," 1.8109","-1.4304"," 2.0300"
"97"," 2.2036","-1.3691"," 2.3853"
"98"," 1.8916","-1.2244"," 1.7824"
"99"," 1.7780","-0.7341"," 2.1751"
"100"," 1.8579","-0.6500"," 2.2791"
