"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 1.47429989897347 0.0724411990401612 1.36328423358641 1.42138027760475 1.45933276701932 1.52142532905532 1.63326763910161 1.03678355400866 62
"D" 0.0933851831781546 0.133098715293404 4.69148009493204e-60 1.52695760581797e-32 3.67399541254918e-11 0.1918615598851 0.4056371717549 1.16784049977672 24
"K_V" 1.55149179214731 0.902135917444895 0.338625804286417 0.906272111797922 1.38492954493626 1.98917848810179 3.80381230775655 1.00326661503383 1100
"Q" 10.701407704095 3.05156914422034 5.66816374843254 8.53875575509689 10.3821825389671 12.4823017083267 17.4602979514663 1.00105242318996 6000
"deviance" 530.192405819881 5.66526700854154 519.743922903064 526.32409681053 530.259777333686 533.737849749439 541.68981930627 1.02394457771377 89
"r_P" 0.443990284769631 0.108406116294471 0.237009671391748 0.371053773905655 0.442989785653431 0.514988739821506 0.661222289093656 1.0011606794854 4900
"r_V" 1.82901344847566 0.479012273395536 1.05447665345553 1.48886287350588 1.76947059910378 2.09777146945719 2.99106136088534 1.00336505102146 870
"sigma2_P" 0.41187032950705 0.0601582836052049 0.310431982218672 0.36905111827918 0.406190109107308 0.449143651093533 0.545146869458727 1.00090379613054 6000
"sigma2_V" 0.584843967489261 0.0854975699477012 0.43771688140587 0.524786960177179 0.576147658603385 0.637002481462229 0.776172802044304 1.00098841022756 6000
"tau_FR" 6.25423004405267 0.909047773602652 4.6457811756345 5.62642168980899 6.20192966020882 6.84696283057676 8.14812010297413 1.0047508936683 500
