"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"C" 2.56174431374257 0.0692313124841393 2.43703778890215 2.51343070854087 2.55862651755439 2.60666394530373 2.70995124522292 1.00088830680869 6000
"D" 0.594367129576123 0.104662391405302 0.414160133586744 0.521297881344274 0.585811877101672 0.660446571102436 0.815703288408664 1.00076734407262 6000
"K_V" 4.66225323940235 2.79917322181618 0.452571029265759 2.22359599249017 4.43585804380964 7.00742808198688 9.70808421382766 1.00079960400828 6000
"deviance" 530.41574579407 3.91580541610103 524.515832907753 527.564394677178 529.835404242733 532.708528926204 539.573502101601 1.00139157834259 3100
"epsilon" 0.0934423193085001 0.0314366434349267 0.0318780496951622 0.0725218083120275 0.0931783230840409 0.114038111302644 0.157851129038928 1.00277451870076 1300
"r_P" -0.184563851287945 0.0663831549485227 -0.319958024707118 -0.228763866824943 -0.183459707487931 -0.140841024178414 -0.0536099545448981 1.00185595897369 1800
"r_V" 1.32129582767729 0.621237410359679 0.289788597447971 0.888555404581061 1.2578166403829 1.66392099207888 2.78365861067971 1.00098181129247 6000
"sigma2_P" 0.0413930659119472 0.00602040886465793 0.0310447760355752 0.0371665152776706 0.0409109541892551 0.0450149030527755 0.0548383061973981 1.00159553977782 2400
"sigma2_V" 17.5309603152937 2.43316884026984 13.3284497040955 15.797491440459 17.3226895936103 19.155255466115 22.7586416876983 1.00106921701332 6000
"tau_FR" 18.8237764747061 2.71190457158303 13.9069245260715 16.9618527577038 18.6900627763015 20.5639231258436 24.5220859951433 1.00114253269938 5100
