"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.195","-2.449"," 2.162"
"3"," 1.760","-2.105"," 2.044"
"4"," 1.700","-1.980"," 1.749"
"5"," 1.258","-1.763"," 1.965"
"6"," 1.965","-2.113"," 2.232"
"7"," 1.928","-2.080"," 2.496"
"8"," 1.690","-1.965"," 2.434"
"9"," 1.816","-1.081"," 2.120"
"10"," 1.846","-1.406"," 2.285"
"11"," 1.376","-1.226"," 1.807"
"12"," 1.706","-1.254"," 2.264"
"13"," 1.679","-1.381"," 2.094"
"14"," 1.771","-1.040"," 1.795"
"15"," 1.492","-0.929"," 2.194"
"16"," 1.930","-1.237"," 1.916"
"17"," 1.655","-0.867"," 2.256"
"18"," 1.496","-1.008"," 2.084"
"19"," 1.898","-0.913"," 2.443"
"20"," 1.961","-0.900"," 2.397"
"21"," 1.624","-0.758"," 2.221"
"22"," 1.648","-0.716"," 1.796"
"23"," 1.446","-0.858"," 2.128"
"24"," 1.685","-0.646"," 1.900"
"25"," 1.555","-1.123"," 2.214"
"26"," 1.713","-1.387"," 1.946"
"27"," 1.892","-1.192"," 2.101"
"28"," 1.649","-0.755"," 1.896"
"29"," 1.831","-1.071"," 2.456"
"30"," 1.974","-0.749"," 2.012"
"31"," 1.782","-0.996"," 1.893"
"32"," 1.801","-1.706"," 2.127"
"33"," 1.464","-1.334"," 2.439"
"34"," 1.257","-1.638"," 1.681"
"35"," 1.594","-1.355"," 2.557"
"36"," 2.087","-0.911"," 2.115"
"37"," 1.671","-1.080"," 1.951"
"38"," 1.830","-1.172"," 2.365"
"39"," 1.714","-0.455"," 2.306"
"40"," 2.002","-0.525"," 2.352"
"41"," 1.578","-0.555"," 1.954"
"42"," 1.542","-0.813"," 2.165"
"43"," 1.551","-0.926"," 1.655"
"44"," 1.711","-1.291"," 2.155"
"45"," 1.787","-1.209"," 1.956"
"46"," 1.517","-1.190"," 1.838"
"47"," 1.660","-1.346"," 1.718"
"48"," 1.641","-1.316"," 1.916"
"49"," 1.644","-1.081"," 1.843"
"50"," 1.663","-1.111"," 2.323"
"51"," 1.895","-0.996"," 2.434"
"52"," 2.033","-1.010"," 2.400"
"53"," 1.893","-0.881"," 2.030"
"54"," 1.538","-0.814"," 2.191"
"55"," 1.699","-1.272"," 2.361"
"56"," 1.776","-0.861"," 2.050"
"57"," 1.588","-0.330"," 1.958"
"58"," 1.575","-0.807"," 2.519"
"59"," 1.266","-0.804"," 2.005"
"60"," 1.550","-1.179"," 2.375"
"61"," 1.227","-1.471"," 2.026"
"62"," 0.963","-1.064"," 2.244"
"63"," 1.397","-1.426"," 2.022"
"64"," 1.813","-1.611"," 2.136"
"65"," 1.760","-1.432"," 2.362"
"66"," 1.454","-1.348"," 1.369"
"67"," 1.748","-1.039"," 2.079"
"68"," 1.789","-0.954"," 2.484"
"69"," 1.799","-0.856"," 1.981"
"70"," 1.858","-0.853"," 2.377"
"71"," 1.646","-0.690"," 2.076"
"72"," 1.776","-0.895"," 2.327"
"73"," 1.393","-0.985"," 2.048"
"74"," 1.482","-1.192"," 2.274"
"75"," 1.860","-1.544"," 2.432"
"76"," 1.574","-1.490"," 2.142"
"77"," 1.713","-1.266"," 2.249"
"78"," 1.590","-1.380"," 2.374"
"79"," 1.739","-0.980"," 1.988"
"80"," 1.642","-0.961"," 2.048"
"81"," 1.723","-0.947"," 1.860"
"82"," 1.630","-0.875"," 2.145"
"83"," 1.684","-1.125"," 1.830"
"84"," 1.818","-0.919"," 2.179"
"85"," 1.485","-0.928"," 2.179"
"86"," 1.403","-0.673"," 2.149"
"87"," 1.594","-1.443"," 2.212"
"88"," 1.452","-1.012"," 1.923"
"89"," 1.640","-1.149"," 1.926"
"90"," 1.476","-1.489"," 1.810"
"91"," 1.783","-1.487"," 1.930"
"92"," 1.790","-1.202"," 1.956"
"93"," 1.661","-1.466"," 2.290"
"94"," 1.639","-1.411"," 2.030"
"95"," 1.403","-1.093"," 2.292"
"96"," 1.628","-1.248"," 2.051"
"97"," 1.821","-1.182"," 2.445"
"98"," 1.626","-1.326"," 1.950"
"99"," 1.963","-1.164"," 2.422"
"100"," 1.717","-0.842"," 2.068"
