"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.324","-2.413"," 1.746"
"3"," 1.614","-2.101"," 2.191"
"4"," 1.401","-2.173"," 2.121"
"5"," 1.647","-1.805"," 1.935"
"6"," 1.645","-1.314"," 1.703"
"7"," 1.810","-1.096"," 2.420"
"8"," 1.940","-1.199"," 2.111"
"9"," 1.895","-1.177"," 2.071"
"10"," 1.435","-0.889"," 1.936"
"11"," 1.780","-0.957"," 2.238"
"12"," 2.312","-0.904"," 2.555"
"13"," 2.051","-0.528"," 2.412"
"14"," 1.458","-0.541"," 1.880"
"15"," 1.747","-0.897"," 2.265"
"16"," 1.561","-1.081"," 2.062"
"17"," 1.585","-1.206"," 2.161"
"18"," 1.902","-1.162"," 2.115"
"19"," 1.754","-1.246"," 1.966"
"20"," 1.745","-1.332"," 2.296"
"21"," 1.663","-1.265"," 2.396"
"22"," 1.885","-1.236"," 2.207"
"23"," 1.918","-1.196"," 1.773"
"24"," 1.972","-1.370"," 2.331"
"25"," 1.667","-1.316"," 2.314"
"26"," 1.634","-1.209"," 2.103"
"27"," 1.652","-0.943"," 1.915"
"28"," 1.386","-1.354"," 2.114"
"29"," 1.757","-1.539"," 2.012"
"30"," 1.874","-0.888"," 2.435"
"31"," 1.483","-1.176"," 2.053"
"32"," 2.039","-1.074"," 2.421"
"33"," 1.841","-0.970"," 2.055"
"34"," 2.032","-1.025"," 2.259"
"35"," 1.444","-0.937"," 1.938"
"36"," 1.532","-1.398"," 1.742"
"37"," 2.257","-1.451"," 2.164"
"38"," 2.044","-1.333"," 2.299"
"39"," 1.653","-1.164"," 2.092"
"40"," 1.316","-1.409"," 2.033"
"41"," 1.836","-1.622"," 2.213"
"42"," 1.606","-1.554"," 2.157"
"43"," 1.972","-1.026"," 2.286"
"44"," 1.794","-0.988"," 2.315"
"45"," 1.697","-1.070"," 2.087"
"46"," 1.580","-0.751"," 2.138"
"47"," 1.236","-0.907"," 1.939"
"48"," 1.567","-0.924"," 2.109"
"49"," 2.227","-1.096"," 2.093"
"50"," 1.748","-1.099"," 2.404"
"51"," 1.749","-1.283"," 2.083"
"52"," 1.328","-1.381"," 1.873"
"53"," 1.658","-1.447"," 2.283"
"54"," 1.504","-1.639"," 2.220"
"55"," 1.523","-0.831"," 2.033"
"56"," 1.332","-0.606"," 1.792"
"57"," 1.394","-0.744"," 2.047"
"58"," 1.535","-0.832"," 1.948"
"59"," 1.704","-0.782"," 2.327"
"60"," 1.473","-0.442"," 1.951"
"61"," 1.499","-1.005"," 1.906"
"62"," 1.682","-1.199"," 2.252"
"63"," 1.560","-1.096"," 2.004"
"64"," 2.188","-0.913"," 2.162"
"65"," 1.791","-0.488"," 2.265"
"66"," 1.477","-1.089"," 2.019"
"67"," 1.448","-1.543"," 1.702"
"68"," 2.209","-1.500"," 2.243"
"69"," 1.564","-1.105"," 1.969"
"70"," 1.234","-0.688"," 1.861"
"71"," 1.391","-1.285"," 2.104"
"72"," 1.389","-1.226"," 2.099"
"73"," 1.212","-1.551"," 2.120"
"74"," 1.648","-1.455"," 2.096"
"75"," 1.712","-1.654"," 2.200"
"76"," 1.803","-1.576"," 2.489"
"77"," 1.531","-1.915"," 2.282"
"78"," 1.776","-1.272"," 2.197"
"79"," 1.644","-1.103"," 1.765"
"80"," 1.731","-0.932"," 2.222"
"81"," 1.677","-0.858"," 2.456"
"82"," 1.763","-0.920"," 1.686"
"83"," 1.317","-0.909"," 1.937"
"84"," 1.277","-1.244"," 1.843"
"85"," 2.018","-1.199"," 2.485"
"86"," 1.317","-1.264"," 1.862"
"87"," 1.408","-1.101"," 1.810"
"88"," 1.542","-1.392"," 1.745"
"89"," 1.678","-1.445"," 2.086"
"90"," 1.622","-1.329"," 1.973"
"91"," 1.582","-1.189"," 1.922"
"92"," 1.458","-1.554"," 2.082"
"93"," 1.711","-1.547"," 2.117"
"94"," 1.886","-0.981"," 1.693"
"95"," 2.007","-0.793"," 2.206"
"96"," 1.700","-0.927"," 1.832"
"97"," 1.520","-0.636"," 2.127"
"98"," 1.647","-0.851"," 2.210"
"99"," 1.773","-1.048"," 1.885"
"100"," 2.035","-1.130"," 2.424"
