"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.187","-2.645"," 1.906"
"3"," 1.606","-2.061"," 2.267"
"4"," 1.875","-2.006"," 2.245"
"5"," 1.763","-1.948"," 1.984"
"6"," 1.716","-1.662"," 2.130"
"7"," 2.070","-1.337"," 1.675"
"8"," 1.582","-1.131"," 2.321"
"9"," 1.855","-1.051"," 1.650"
"10"," 1.818","-0.758"," 2.090"
"11"," 1.873","-0.844"," 1.889"
"12"," 1.574","-1.390"," 1.829"
"13"," 1.915","-1.429"," 2.114"
"14"," 1.257","-0.990"," 1.851"
"15"," 1.660","-1.376"," 1.700"
"16"," 1.791","-1.309"," 1.976"
"17"," 1.864","-0.834"," 1.841"
"18"," 1.665","-0.988"," 2.175"
"19"," 1.716","-0.826"," 2.393"
"20"," 1.701","-0.780"," 2.371"
"21"," 1.783","-1.003"," 1.996"
"22"," 1.252","-0.732"," 1.850"
"23"," 1.532","-1.291"," 1.871"
"24"," 1.679","-1.314"," 1.895"
"25"," 1.212","-1.314"," 2.010"
"26"," 1.876","-1.100"," 1.974"
"27"," 1.900","-1.032"," 2.077"
"28"," 1.870","-1.051"," 2.317"
"29"," 1.569","-1.041"," 2.521"
"30"," 1.688","-0.894"," 2.012"
"31"," 1.507","-1.030"," 2.109"
"32"," 2.008","-0.957"," 2.068"
"33"," 1.905","-1.394"," 2.084"
"34"," 1.874","-1.079"," 1.956"
"35"," 1.297","-0.943"," 2.286"
"36"," 1.686","-1.790"," 2.334"
"37"," 1.964","-1.692"," 1.964"
"38"," 1.943","-1.701"," 1.860"
"39"," 2.348","-1.347"," 2.357"
"40"," 1.865","-0.912"," 2.182"
"41"," 2.061","-0.456"," 2.200"
"42"," 1.725","-0.850"," 2.272"
"43"," 1.895","-0.861"," 2.227"
"44"," 1.426","-0.697"," 1.812"
"45"," 1.642","-1.279"," 2.195"
"46"," 1.951","-1.191"," 1.817"
"47"," 2.048","-0.959"," 2.460"
"48"," 1.465","-0.971"," 2.024"
"49"," 1.670","-1.006"," 1.938"
"50"," 1.566","-0.918"," 2.348"
"51"," 1.418","-0.696"," 2.046"
"52"," 1.926","-0.993"," 2.192"
"53"," 1.909","-0.703"," 2.231"
"54"," 1.476","-0.682"," 1.864"
"55"," 1.787","-1.121"," 1.985"
"56"," 1.642","-0.765"," 2.327"
"57"," 1.944","-0.918"," 2.243"
"58"," 1.948","-0.918"," 2.230"
"59"," 1.820","-1.003"," 2.127"
"60"," 1.482","-1.450"," 2.609"
"61"," 1.725","-1.347"," 2.292"
"62"," 1.777","-0.975"," 1.876"
"63"," 1.469","-1.153"," 1.924"
"64"," 1.590","-1.278"," 1.995"
"65"," 1.683","-1.029"," 2.074"
"66"," 1.655","-0.845"," 2.381"
"67"," 1.556","-0.963"," 1.936"
"68"," 1.595","-0.984"," 2.265"
"69"," 1.770","-0.902"," 2.399"
"70"," 1.613","-0.720"," 2.117"
"71"," 1.784","-0.519"," 2.179"
"72"," 1.710","-0.661"," 2.171"
"73"," 1.919","-1.095"," 2.606"
"74"," 1.709","-1.172"," 2.286"
"75"," 1.600","-0.965"," 1.732"
"76"," 1.747","-0.508"," 1.991"
"77"," 1.422","-0.624"," 1.638"
"78"," 1.933","-1.014"," 2.577"
"79"," 1.652","-1.327"," 2.085"
"80"," 1.825","-1.432"," 2.330"
"81"," 1.862","-0.947"," 2.320"
"82"," 1.547","-0.350"," 2.133"
"83"," 1.358","-0.836"," 2.012"
"84"," 1.369","-0.967"," 1.956"
"85"," 1.904","-1.436"," 2.246"
"86"," 1.712","-1.270"," 1.939"
"87"," 1.885","-1.074"," 2.279"
"88"," 1.611","-0.818"," 2.422"
"89"," 1.929","-0.835"," 1.933"
"90"," 1.855","-1.106"," 2.278"
"91"," 1.729","-1.102"," 1.533"
"92"," 1.169","-1.509"," 1.941"
"93"," 1.534","-1.303"," 1.982"
"94"," 1.674","-1.079"," 2.217"
"95"," 1.166","-0.851"," 1.789"
"96"," 1.670","-1.724"," 2.013"
"97"," 1.799","-1.592"," 2.170"
"98"," 1.377","-1.045"," 2.076"
"99"," 1.422","-1.072"," 2.010"
"100"," 1.609","-1.275"," 1.714"
