"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.207","-2.154"," 1.753"
"3"," 1.460","-1.939"," 2.134"
"4"," 1.501","-1.439"," 2.470"
"5"," 2.022","-1.349"," 2.086"
"6"," 1.361","-1.024"," 1.363"
"7"," 1.684","-1.182"," 2.272"
"8"," 1.948","-0.957"," 2.284"
"9"," 1.448","-0.905"," 1.940"
"10"," 1.774","-1.096"," 1.873"
"11"," 1.642","-0.948"," 1.707"
"12"," 1.899","-1.259"," 2.039"
"13"," 1.854","-1.407"," 2.231"
"14"," 1.902","-0.879"," 1.830"
"15"," 1.726","-0.873"," 2.076"
"16"," 1.720","-0.753"," 2.106"
"17"," 1.835","-0.775"," 2.599"
"18"," 2.309","-0.990"," 2.454"
"19"," 1.821","-0.733"," 2.314"
"20"," 2.011","-1.028"," 2.329"
"21"," 1.567","-0.858"," 2.200"
"22"," 1.836","-1.058"," 2.393"
"23"," 2.018","-0.923"," 1.724"
"24"," 1.869","-0.723"," 2.679"
"25"," 1.722","-1.101"," 2.278"
"26"," 1.746","-1.058"," 1.972"
"27"," 1.827","-0.911"," 2.151"
"28"," 1.886","-0.969"," 2.034"
"29"," 1.977","-1.050"," 2.414"
"30"," 2.128","-1.377"," 1.996"
"31"," 1.977","-1.141"," 2.058"
"32"," 1.830","-1.079"," 2.135"
"33"," 1.197","-0.776"," 1.372"
"34"," 1.679","-0.944"," 2.184"
"35"," 1.644","-1.101"," 2.432"
"36"," 1.375","-0.874"," 2.212"
"37"," 1.368","-0.938"," 1.981"
"38"," 1.311","-1.119"," 2.159"
"39"," 1.555","-1.171"," 2.322"
"40"," 1.673","-0.967"," 2.233"
"41"," 1.266","-0.742"," 1.855"
"42"," 1.546","-1.290"," 2.319"
"43"," 1.903","-1.544"," 2.554"
"44"," 1.845","-1.538"," 2.555"
"45"," 1.766","-1.535"," 2.132"
"46"," 1.809","-0.867"," 2.248"
"47"," 2.043","-1.388"," 2.150"
"48"," 2.023","-1.239"," 2.459"
"49"," 1.586","-1.226"," 2.252"
"50"," 1.675","-1.436"," 1.840"
"51"," 1.712","-1.119"," 2.134"
"52"," 2.147","-0.771"," 2.283"
"53"," 1.800","-0.842"," 2.065"
"54"," 1.194","-0.818"," 2.220"
"55"," 1.622","-1.517"," 1.878"
"56"," 1.851","-1.330"," 2.035"
"57"," 2.136","-1.235"," 2.083"
"58"," 1.927","-0.910"," 2.023"
"59"," 1.809","-0.964"," 2.024"
"60"," 1.418","-0.690"," 2.074"
"61"," 1.293","-0.776"," 1.979"
"62"," 1.473","-1.088"," 2.114"
"63"," 1.427","-1.091"," 1.964"
"64"," 1.307","-1.082"," 1.452"
"65"," 1.542","-1.231"," 1.925"
"66"," 1.541","-1.392"," 2.292"
"67"," 1.588","-1.370"," 2.000"
"68"," 1.482","-1.167"," 2.137"
"69"," 1.713","-1.192"," 2.021"
"70"," 1.630","-0.835"," 1.989"
"71"," 1.354","-1.200"," 1.965"
"72"," 1.530","-1.557"," 1.667"
"73"," 1.824","-1.249"," 2.156"
"74"," 1.559","-1.244"," 2.175"
"75"," 1.723","-1.146"," 1.916"
"76"," 1.522","-1.003"," 2.093"
"77"," 1.474","-1.205"," 1.858"
"78"," 1.683","-1.310"," 1.790"
"79"," 2.096","-1.261"," 2.443"
"80"," 2.033","-1.226"," 2.294"
"81"," 1.469","-0.704"," 2.328"
"82"," 1.603","-1.096"," 2.055"
"83"," 1.587","-1.455"," 2.686"
"84"," 1.495","-1.331"," 2.290"
"85"," 1.383","-0.930"," 2.064"
"86"," 1.690","-1.395"," 2.166"
"87"," 2.055","-1.652"," 2.280"
"88"," 1.613","-1.303"," 1.991"
"89"," 1.759","-1.115"," 2.087"
"90"," 1.471","-1.292"," 1.695"
"91"," 1.577","-1.239"," 2.234"
"92"," 1.414","-1.518"," 2.472"
"93"," 1.706","-1.182"," 1.574"
"94"," 2.159","-1.271"," 2.503"
"95"," 1.535","-1.088"," 2.369"
"96"," 1.604","-1.214"," 2.398"
"97"," 1.665","-1.343"," 1.924"
"98"," 1.838","-1.207"," 2.196"
"99"," 1.512","-0.994"," 1.938"
"100"," 1.610","-0.865"," 2.209"
