"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.503","-2.404"," 1.802"
"3"," 1.834","-2.599"," 2.225"
"4"," 1.762","-1.736"," 2.050"
"5"," 1.742","-1.552"," 1.904"
"6"," 1.457","-1.494"," 2.259"
"7"," 2.011","-1.182"," 2.518"
"8"," 1.975","-0.752"," 2.394"
"9"," 1.158","-0.929"," 1.603"
"10"," 1.480","-1.170"," 2.358"
"11"," 1.635","-1.109"," 2.068"
"12"," 1.694","-0.977"," 2.031"
"13"," 1.552","-1.160"," 1.783"
"14"," 1.760","-1.454"," 2.138"
"15"," 1.929","-1.319"," 2.380"
"16"," 1.540","-1.205"," 1.868"
"17"," 2.168","-1.333"," 2.339"
"18"," 1.875","-0.686"," 2.243"
"19"," 1.588","-1.030"," 2.182"
"20"," 1.965","-0.916"," 1.924"
"21"," 1.609","-1.189"," 1.840"
"22"," 2.030","-0.643"," 1.824"
"23"," 1.340","-0.455"," 1.930"
"24"," 1.179","-0.799"," 1.978"
"25"," 1.479","-1.023"," 2.168"
"26"," 1.418","-1.216"," 1.632"
"27"," 1.825","-1.185"," 2.061"
"28"," 1.834","-0.996"," 1.727"
"29"," 2.051","-1.093"," 2.144"
"30"," 1.651","-0.896"," 1.801"
"31"," 2.041","-1.208"," 2.332"
"32"," 1.618","-1.336"," 2.218"
"33"," 1.712","-1.434"," 2.101"
"34"," 1.815","-1.297"," 2.125"
"35"," 1.930","-0.946"," 2.191"
"36"," 1.903","-1.212"," 2.140"
"37"," 1.642","-1.150"," 2.135"
"38"," 1.524","-1.183"," 2.056"
"39"," 1.834","-0.710"," 1.845"
"40"," 1.737","-0.899"," 2.058"
"41"," 1.945","-0.739"," 1.946"
"42"," 2.195","-0.640"," 2.418"
"43"," 1.803","-0.268"," 2.251"
"44"," 1.553","-0.514"," 2.281"
"45"," 1.628","-0.638"," 2.194"
"46"," 1.587","-0.579"," 2.091"
"47"," 1.716","-0.631"," 1.804"
"48"," 1.774","-1.374"," 1.965"
"49"," 2.186","-0.820"," 2.601"
"50"," 2.018","-0.385"," 2.278"
"51"," 1.356","-0.601"," 2.190"
"52"," 1.452","-0.897"," 1.801"
"53"," 1.393","-1.081"," 2.038"
"54"," 1.535","-0.947"," 2.444"
"55"," 1.804","-1.077"," 2.231"
"56"," 1.598","-1.073"," 1.969"
"57"," 1.534","-0.994"," 2.090"
"58"," 1.317","-0.993"," 2.148"
"59"," 1.801","-1.126"," 2.199"
"60"," 1.615","-0.713"," 1.972"
"61"," 1.587","-0.988"," 2.121"
"62"," 1.681","-1.257"," 1.941"
"63"," 1.670","-0.835"," 2.135"
"64"," 1.406","-1.275"," 1.958"
"65"," 1.461","-1.595"," 2.252"
"66"," 1.758","-1.448"," 1.984"
"67"," 1.743","-1.724"," 2.092"
"68"," 1.797","-1.765"," 1.992"
"69"," 1.401","-1.404"," 1.860"
"70"," 1.757","-1.538"," 1.850"
"71"," 1.976","-1.329"," 2.634"
"72"," 2.078","-1.370"," 1.957"
"73"," 1.784","-1.333"," 2.565"
"74"," 1.292","-1.008"," 1.996"
"75"," 1.732","-1.160"," 2.027"
"76"," 1.937","-1.226"," 2.698"
"77"," 1.546","-0.986"," 1.760"
"78"," 1.535","-1.011"," 2.408"
"79"," 1.859","-1.100"," 2.081"
"80"," 1.735","-0.931"," 1.552"
"81"," 1.378","-1.054"," 2.377"
"82"," 1.683","-1.530"," 2.295"
"83"," 1.638","-1.388"," 2.200"
"84"," 1.968","-1.179"," 1.864"
"85"," 1.755","-0.733"," 2.319"
"86"," 1.242","-0.336"," 2.045"
"87"," 1.348","-1.084"," 1.603"
"88"," 1.692","-1.034"," 1.796"
"89"," 1.915","-0.694"," 1.944"
"90"," 1.548","-0.759"," 2.403"
"91"," 1.772","-1.169"," 2.460"
"92"," 1.905","-1.063"," 2.172"
"93"," 1.690","-0.867"," 2.200"
"94"," 1.771","-0.800"," 1.957"
"95"," 1.754","-1.082"," 2.217"
"96"," 1.798","-1.241"," 1.856"
"97"," 1.852","-0.793"," 2.348"
"98"," 1.726","-1.028"," 2.298"
"99"," 1.339","-0.857"," 1.978"
"100"," 1.598","-1.014"," 1.843"
