"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.522","-2.463"," 1.690"
"3"," 2.078","-2.268"," 2.879"
"4"," 1.941","-1.614"," 1.965"
"5"," 1.295","-1.308"," 1.921"
"6"," 1.523","-1.433"," 2.010"
"7"," 1.848","-1.518"," 2.260"
"8"," 1.452","-0.875"," 1.888"
"9"," 1.482","-1.111"," 1.481"
"10"," 1.581","-1.096"," 2.360"
"11"," 1.945","-0.882"," 2.180"
"12"," 1.737","-0.743"," 1.871"
"13"," 1.471","-1.010"," 2.051"
"14"," 1.897","-0.978"," 2.076"
"15"," 2.064","-1.327"," 2.373"
"16"," 1.358","-0.872"," 2.241"
"17"," 1.733","-0.914"," 1.902"
"18"," 1.745","-0.943"," 2.015"
"19"," 1.840","-0.904"," 2.189"
"20"," 1.733","-0.447"," 2.011"
"21"," 1.745","-0.683"," 1.795"
"22"," 1.751","-1.081"," 2.333"
"23"," 1.942","-0.602"," 2.075"
"24"," 1.434","-0.517"," 2.350"
"25"," 1.670","-0.601"," 2.027"
"26"," 1.469","-0.576"," 2.108"
"27"," 1.787","-1.115"," 2.165"
"28"," 1.469","-0.933"," 2.162"
"29"," 1.407","-0.870"," 2.418"
"30"," 1.988","-1.425"," 2.035"
"31"," 1.989","-1.277"," 1.950"
"32"," 1.808","-1.169"," 1.796"
"33"," 1.444","-1.162"," 1.639"
"34"," 1.995","-1.005"," 2.323"
"35"," 1.760","-0.810"," 2.682"
"36"," 1.780","-1.030"," 2.509"
"37"," 1.458","-0.961"," 1.936"
"38"," 2.062","-1.394"," 2.384"
"39"," 1.607","-1.002"," 2.184"
"40"," 1.771","-0.947"," 1.953"
"41"," 1.823","-1.300"," 1.766"
"42"," 1.953","-1.312"," 2.317"
"43"," 1.970","-0.980"," 2.325"
"44"," 1.521","-0.728"," 2.217"
"45"," 1.940","-1.140"," 1.966"
"46"," 1.844","-1.334"," 2.359"
"47"," 2.079","-1.274"," 2.209"
"48"," 1.711","-1.009"," 1.664"
"49"," 1.892","-0.969"," 1.766"
"50"," 2.113","-0.786"," 2.078"
"51"," 1.635","-0.326"," 1.815"
"52"," 1.355","-0.685"," 1.930"
"53"," 1.757","-0.481"," 2.098"
"54"," 1.965","-0.308"," 2.082"
"55"," 1.626","-0.391"," 2.376"
"56"," 1.483","-0.778"," 1.944"
"57"," 1.416","-0.870"," 2.092"
"58"," 1.317","-1.016"," 1.884"
"59"," 1.506","-1.229"," 1.864"
"60"," 2.216","-0.953"," 2.388"
"61"," 1.792","-0.899"," 2.283"
"62"," 2.052","-1.274"," 2.135"
"63"," 1.560","-1.355"," 2.030"
"64"," 1.588","-1.170"," 2.266"
"65"," 1.488","-1.271"," 1.866"
"66"," 1.443","-1.556"," 2.020"
"67"," 2.173","-1.080"," 2.098"
"68"," 2.140","-0.759"," 2.018"
"69"," 2.202","-0.515"," 2.217"
"70"," 1.592","-0.605"," 1.858"
"71"," 1.414","-1.012"," 2.208"
"72"," 1.625","-0.875"," 2.046"
"73"," 2.025","-1.382"," 2.016"
"74"," 1.707","-1.002"," 1.722"
"75"," 2.036","-1.514"," 2.430"
"76"," 1.758","-1.557"," 2.159"
"77"," 1.427","-1.668"," 1.945"
"78"," 1.635","-1.489"," 2.066"
"79"," 1.638","-1.324"," 2.037"
"80"," 1.752","-1.405"," 2.172"
"81"," 1.725","-1.262"," 2.400"
"82"," 1.237","-1.074"," 1.904"
"83"," 1.318","-1.451"," 1.930"
"84"," 1.569","-1.229"," 2.231"
"85"," 1.851","-1.340"," 2.469"
"86"," 1.841","-1.130"," 2.399"
"87"," 1.808","-0.960"," 2.137"
"88"," 1.833","-0.806"," 2.550"
"89"," 1.784","-0.981"," 1.920"
"90"," 1.563","-0.922"," 2.391"
"91"," 1.468","-1.093"," 2.069"
"92"," 1.635","-0.988"," 1.443"
"93"," 1.769","-0.988"," 1.728"
"94"," 1.713","-0.658"," 2.103"
"95"," 1.783","-1.149"," 2.331"
"96"," 1.551","-1.245"," 2.054"
"97"," 1.532","-0.868"," 1.866"
"98"," 1.937","-1.252"," 1.700"
"99"," 2.068","-0.795"," 2.375"
"100"," 1.433","-0.471"," 2.157"
