"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.194","-2.957"," 2.110"
"3"," 1.623","-2.613"," 2.016"
"4"," 1.790","-2.421"," 2.320"
"5"," 1.626","-1.931"," 2.282"
"6"," 1.996","-2.099"," 1.849"
"7"," 1.636","-1.476"," 2.271"
"8"," 1.551","-0.867"," 2.085"
"9"," 2.015","-1.203"," 2.643"
"10"," 1.603","-1.201"," 2.045"
"11"," 1.533","-1.103"," 2.379"
"12"," 1.252","-1.321"," 1.693"
"13"," 1.892","-1.378"," 2.055"
"14"," 1.864","-0.899"," 2.329"
"15"," 1.825","-1.107"," 2.269"
"16"," 1.601","-1.190"," 2.253"
"17"," 1.595","-0.978"," 1.743"
"18"," 1.747","-1.029"," 2.289"
"19"," 1.986","-0.960"," 2.532"
"20"," 1.958","-1.182"," 2.115"
"21"," 1.772","-1.097"," 2.164"
"22"," 1.404","-1.046"," 2.255"
"23"," 1.712","-1.216"," 1.997"
"24"," 1.825","-1.261"," 2.179"
"25"," 2.251","-1.082"," 2.205"
"26"," 1.875","-0.501"," 2.313"
"27"," 1.545","-0.871"," 1.802"
"28"," 1.172","-1.163"," 2.033"
"29"," 1.762","-1.146"," 2.140"
"30"," 1.384","-0.775"," 1.971"
"31"," 1.359","-1.234"," 2.168"
"32"," 1.597","-1.379"," 2.271"
"33"," 1.690","-1.136"," 2.018"
"34"," 1.765","-0.938"," 2.105"
"35"," 1.479","-0.754"," 1.760"
"36"," 1.413","-1.214"," 2.005"
"37"," 1.827","-1.392"," 2.152"
"38"," 1.732","-0.740"," 2.376"
"39"," 2.005","-1.052"," 2.184"
"40"," 1.762","-1.188"," 1.898"
"41"," 1.950","-1.444"," 2.108"
"42"," 1.521","-1.134"," 2.548"
"43"," 1.265","-1.420"," 1.781"
"44"," 1.736","-1.241"," 2.065"
"45"," 1.610","-1.050"," 2.073"
"46"," 1.729","-1.063"," 2.114"
"47"," 1.733","-1.320"," 2.035"
"48"," 1.469","-1.369"," 1.635"
"49"," 1.590","-1.371"," 1.978"
"50"," 1.543","-0.778"," 2.166"
"51"," 1.481","-0.562"," 1.871"
"52"," 1.274","-0.888"," 1.872"
"53"," 1.493","-1.456"," 2.379"
"54"," 1.854","-1.365"," 2.298"
"55"," 1.651","-1.351"," 2.290"
"56"," 1.731","-1.339"," 2.168"
"57"," 1.857","-1.164"," 1.904"
"58"," 1.806","-1.448"," 2.344"
"59"," 1.609","-1.200"," 2.237"
"60"," 1.568","-1.152"," 2.184"
"61"," 1.749","-1.123"," 2.149"
"62"," 1.643","-1.125"," 1.882"
"63"," 1.534","-1.427"," 2.023"
"64"," 2.025","-1.182"," 1.941"
"65"," 1.843","-1.121"," 2.279"
"66"," 1.698","-0.864"," 2.167"
"67"," 1.462","-1.050"," 2.005"
"68"," 1.970","-1.363"," 2.052"
"69"," 2.062","-1.152"," 2.228"
"70"," 2.398","-0.918"," 2.121"
"71"," 2.068","-0.511"," 1.893"
"72"," 2.248","-0.628"," 2.141"
"73"," 1.843","-0.650"," 2.650"
"74"," 1.491","-0.665"," 2.142"
"75"," 1.736","-0.988"," 2.088"
"76"," 1.601","-1.218"," 1.936"
"77"," 1.694","-1.329"," 1.806"
"78"," 1.991","-1.171"," 2.139"
"79"," 1.967","-0.850"," 1.984"
"80"," 1.893","-0.972"," 2.413"
"81"," 1.415","-1.016"," 2.053"
"82"," 1.444","-1.558"," 1.931"
"83"," 2.096","-1.743"," 2.358"
"84"," 1.857","-1.780"," 2.310"
"85"," 1.692","-1.355"," 2.414"
"86"," 1.924","-1.507"," 2.199"
"87"," 1.724","-1.024"," 1.953"
"88"," 1.668","-0.724"," 1.899"
"89"," 1.819","-0.896"," 1.950"
"90"," 1.770","-1.307"," 1.571"
"91"," 2.023","-1.575"," 2.264"
"92"," 1.775","-1.426"," 2.446"
"93"," 1.566","-1.363"," 2.081"
"94"," 1.923","-1.343"," 2.139"
"95"," 2.365","-1.082"," 2.512"
"96"," 1.879","-1.083"," 1.879"
"97"," 1.842","-0.900"," 2.381"
"98"," 1.585","-0.686"," 2.208"
"99"," 1.475","-0.445"," 2.128"
"100"," 1.471","-0.615"," 2.429"
