"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.310","-2.455"," 1.881"
"3"," 1.575","-1.993"," 1.971"
"4"," 2.089","-1.706"," 1.891"
"5"," 2.038","-1.389"," 2.147"
"6"," 2.094","-1.500"," 2.314"
"7"," 2.020","-1.155"," 2.265"
"8"," 1.525","-0.985"," 2.252"
"9"," 1.459","-0.765"," 2.132"
"10"," 1.561","-1.075"," 2.093"
"11"," 1.723","-0.796"," 2.015"
"12"," 1.679","-0.584"," 1.807"
"13"," 1.648","-0.996"," 2.273"
"14"," 1.814","-1.072"," 2.453"
"15"," 1.622","-0.948"," 2.226"
"16"," 1.674","-0.942"," 2.156"
"17"," 1.877","-1.101"," 2.092"
"18"," 1.243","-0.964"," 2.041"
"19"," 1.418","-1.261"," 1.972"
"20"," 1.848","-0.856"," 2.329"
"21"," 1.307","-0.773"," 2.427"
"22"," 1.549","-0.802"," 2.040"
"23"," 1.605","-0.818"," 2.054"
"24"," 1.229","-0.431"," 2.220"
"25"," 1.637","-0.968"," 1.715"
"26"," 1.615","-0.859"," 1.801"
"27"," 1.337","-1.039"," 1.948"
"28"," 1.678","-1.371"," 2.294"
"29"," 1.857","-1.553"," 2.486"
"30"," 1.960","-1.241"," 2.359"
"31"," 1.813","-1.234"," 2.131"
"32"," 1.579","-0.845"," 1.870"
"33"," 1.663","-1.108"," 2.338"
"34"," 1.356","-1.201"," 1.886"
"35"," 1.738","-0.898"," 1.872"
"36"," 1.617","-1.301"," 1.916"
"37"," 1.291","-0.943"," 1.914"
"38"," 1.538","-1.110"," 1.837"
"39"," 1.548","-1.532"," 1.853"
"40"," 1.833","-1.396"," 1.806"
"41"," 1.916","-1.287"," 2.703"
"42"," 1.674","-1.371"," 2.094"
"43"," 1.570","-1.295"," 1.995"
"44"," 2.171","-1.409"," 2.601"
"45"," 1.989","-1.408"," 2.135"
"46"," 1.722","-1.120"," 2.320"
"47"," 1.888","-1.085"," 2.030"
"48"," 2.115","-1.063"," 2.327"
"49"," 1.920","-0.972"," 2.336"
"50"," 1.383","-0.834"," 1.635"
"51"," 1.707","-0.986"," 2.320"
"52"," 1.656","-1.144"," 2.428"
"53"," 1.088","-0.873"," 1.713"
"54"," 1.587","-1.594"," 1.824"
"55"," 1.520","-1.448"," 1.660"
"56"," 1.447","-1.180"," 2.527"
"57"," 1.540","-1.104"," 1.972"
"58"," 1.595","-0.887"," 1.600"
"59"," 1.659","-1.081"," 2.290"
"60"," 1.874","-1.249"," 2.423"
"61"," 1.623","-0.975"," 2.036"
"62"," 1.269","-0.977"," 1.814"
"63"," 1.513","-0.717"," 1.818"
"64"," 1.642","-0.593"," 1.905"
"65"," 1.210","-0.408"," 1.779"
"66"," 1.342","-1.070"," 2.027"
"67"," 1.733","-1.786"," 2.007"
"68"," 1.595","-1.514"," 2.699"
"69"," 1.648","-1.006"," 2.500"
"70"," 1.821","-0.540"," 2.067"
"71"," 1.483","-0.610"," 1.852"
"72"," 1.595","-1.133"," 2.127"
"73"," 1.625","-1.343"," 2.194"
"74"," 1.739","-1.082"," 2.379"
"75"," 1.545","-0.629"," 1.983"
"76"," 1.401","-0.541"," 2.163"
"77"," 1.729","-0.825"," 2.298"
"78"," 1.762","-1.379"," 2.035"
"79"," 2.125","-1.173"," 2.437"
"80"," 1.866","-0.988"," 2.597"
"81"," 1.139","-1.543"," 1.977"
"82"," 1.863","-1.645"," 2.312"
"83"," 1.280","-1.182"," 1.784"
"84"," 1.717","-1.373"," 2.225"
"85"," 1.669","-1.088"," 1.722"
"86"," 1.796","-1.031"," 2.425"
"87"," 1.949","-0.961"," 2.339"
"88"," 1.645","-0.838"," 1.912"
"89"," 1.871","-1.044"," 1.885"
"90"," 1.547","-1.156"," 1.871"
"91"," 1.507","-1.067"," 2.120"
"92"," 2.071","-1.220"," 1.991"
"93"," 2.136","-0.835"," 2.203"
"94"," 1.823","-0.500"," 2.082"
"95"," 1.769","-0.984"," 2.422"
"96"," 2.205","-0.744"," 2.333"
"97"," 2.021","-0.730"," 2.021"
"98"," 1.878","-1.162"," 2.320"
"99"," 1.569","-1.052"," 2.093"
"100"," 1.680","-1.197"," 2.411"
