"","","","FR"
"1"," 0.000","-2.303"," 1.250"
"2"," 1.331","-2.683"," 2.032"
"3"," 1.805","-2.542"," 2.212"
"4"," 1.502","-1.920"," 2.261"
"5"," 1.505","-1.684"," 1.984"
"6"," 1.759","-1.460"," 2.260"
"7"," 1.526","-1.169"," 2.266"
"8"," 1.815","-0.956"," 2.024"
"9"," 1.956","-0.961"," 2.115"
"10"," 2.014","-0.813"," 2.167"
"11"," 1.767","-0.926"," 2.176"
"12"," 1.551","-0.673"," 1.810"
"13"," 1.685","-0.963"," 2.142"
"14"," 1.612","-1.360"," 2.341"
"15"," 1.488","-0.857"," 2.488"
"16"," 1.360","-1.172"," 1.703"
"17"," 1.433","-1.315"," 2.129"
"18"," 1.701","-1.274"," 2.387"
"19"," 1.817","-1.273"," 2.153"
"20"," 1.788","-1.449"," 2.317"
"21"," 1.416","-1.039"," 1.929"
"22"," 1.501","-0.886"," 1.853"
"23"," 1.944","-1.009"," 2.313"
"24"," 2.124","-0.769"," 2.455"
"25"," 1.502","-0.899"," 1.895"
"26"," 1.940","-0.883"," 2.407"
"27"," 1.666","-0.755"," 2.018"
"28"," 1.682","-0.704"," 2.323"
"29"," 1.666","-0.462"," 1.993"
"30"," 1.469","-0.783"," 1.575"
"31"," 1.300","-1.034"," 2.328"
"32"," 1.591","-1.221"," 1.800"
"33"," 1.546","-0.528"," 2.017"
"34"," 1.235","-1.084"," 2.083"
"35"," 1.761","-1.150"," 2.158"
"36"," 1.958","-0.961"," 2.232"
"37"," 1.650","-1.039"," 1.874"
"38"," 1.698","-0.724"," 2.178"
"39"," 1.783","-0.868"," 2.141"
"40"," 1.786","-0.999"," 1.855"
"41"," 1.908","-1.314"," 1.918"
"42"," 1.348","-1.526"," 2.100"
"43"," 1.572","-1.477"," 2.201"
"44"," 1.480","-1.261"," 2.314"
"45"," 1.651","-0.747"," 2.215"
"46"," 1.606","-0.602"," 2.017"
"47"," 1.904","-0.813"," 2.309"
"48"," 1.785","-0.496"," 1.811"
"49"," 1.322","-0.438"," 2.041"
"50"," 1.420","-0.883"," 2.026"
"51"," 1.237","-1.312"," 1.675"
"52"," 1.899","-0.919"," 2.155"
"53"," 1.786","-1.040"," 2.006"
"54"," 1.567","-0.625"," 1.701"
"55"," 1.369","-1.028"," 2.028"
"56"," 2.103","-1.619"," 2.260"
"57"," 1.624","-1.535"," 2.169"
"58"," 1.751","-1.610"," 2.070"
"59"," 1.921","-1.615"," 1.921"
"60"," 1.956","-1.657"," 2.107"
"61"," 2.025","-1.979"," 2.151"
"62"," 1.496","-1.790"," 1.803"
"63"," 1.599","-1.325"," 2.231"
"64"," 1.948","-1.307"," 1.548"
"65"," 2.091","-1.421"," 1.633"
"66"," 1.775","-1.040"," 2.165"
"67"," 1.670","-0.996"," 1.992"
"68"," 1.802","-1.237"," 2.131"
"69"," 1.566","-1.370"," 1.680"
"70"," 1.739","-1.232"," 2.104"
"71"," 1.962","-1.448"," 2.219"
"72"," 1.777","-1.016"," 2.175"
"73"," 2.001","-0.699"," 2.221"
"74"," 2.121","-0.550"," 2.134"
"75"," 1.670","-0.409"," 2.594"
"76"," 1.205","-0.617"," 2.139"
"77"," 1.233","-1.051"," 2.077"
"78"," 1.557","-1.244"," 1.929"
"79"," 1.891","-1.271"," 2.311"
"80"," 1.512","-0.822"," 2.128"
"81"," 1.666","-0.803"," 1.933"
"82"," 1.591","-0.828"," 2.216"
"83"," 1.737","-1.396"," 1.973"
"84"," 1.682","-1.167"," 2.251"
"85"," 1.736","-1.176"," 1.961"
"86"," 1.290","-0.949"," 2.220"
"87"," 1.000","-1.408"," 1.896"
"88"," 1.626","-1.870"," 1.877"
"89"," 2.213","-1.768"," 2.340"
"90"," 2.354","-1.079"," 2.184"
"91"," 1.917","-0.710"," 2.499"
"92"," 1.414","-0.898"," 1.864"
"93"," 1.660","-1.335"," 2.085"
"94"," 1.909","-1.495"," 2.430"
"95"," 1.844","-1.567"," 2.419"
"96"," 1.740","-1.607"," 1.913"
"97"," 1.907","-1.769"," 2.328"
"98"," 1.639","-1.688"," 1.832"
"99"," 1.455","-1.528"," 1.809"
"100"," 1.586","-1.328"," 2.457"
