"","C_est","D_est","C_est_woutFR","D_est_woutFR"
"1",2.59198834528097,1.25751968736113,2.02781520944279,0.01
"2",2.6641083291341,1.34624188291096,3.27248996003177,0.01
"3",2.46730493056796,0.96413300569115,1.59670718527892,0.119101245188923
"4",2.53335535434147,1.06152954301376,2.06947071146903,0.01
"5",2.55648224556246,1.17131889370584,4.47775211624938,2.38533209216755
"6",2.68155321127692,1.4990133983707,3.81716148328374,2.54781667825444
"7",2.34947428885082,0.613208056874678,2.27751974860044,0.01
"8",2.6242574633753,1.23903162717967,1.28463941752726,1.7394572717107
"9",2.62959330528542,1.3286070419431,2.6772952741715,0.453005716810889
"10",2.48643494110458,0.779037525518774,3.77254310547669,0.06373868998272
"11",2.51635092079012,1.00395512402701,2.90185609586292,1.24949411355096
"12",2.72833205708945,1.58259255200256,2.28545572648229,0.01
"13",2.37821602120881,0.69134673993884,2.20937952118193,0.01
"14",2.54495715788359,1.05171224849976,2.32407241886719,0.01
"15",2.5642936348682,1.24206734098125,0.892418271000571,0.01
"16",2.62448639354685,1.23993736159225,4.39131273271938,2.94944411216369
"17",2.52152916374105,1.09283894691426,5.1108309751213,3.44266673205744
"18",2.4238985180508,0.760591352210407,2.45096766348128,3.61447356060596
"19",2.55289477779694,1.08995901064772,4.43634880390184,3.48107152948382
"20",2.55645742149683,1.13764417904674,2.48175009122865,0.01
"21",2.50928502470108,1.03576762312221,1.77391749747409,4.40377449342812
"22",2.55402837699612,1.23052831036698,0.255656701467776,2.91417311054324
"23",2.48327039322314,0.923181309520572,3.35080043593488,1.10278498709524
"24",2.79111665572979,1.70321112725306,1.73796116376863,4.61968762387598
"25",2.38466093083011,0.848089172215921,1.42180192687391,0.01
"26",2.3991697505784,0.817863490418792,2.29667769598693,0.166862168060936
"27",2.51553979215687,0.88541550991278,1.97764043874308,0.648385367232859
"28",2.67446466987024,1.48731384404423,5.27758338586721,3.58944087249949
"29",2.56829616837035,1.26409006679221,3.89173099933872,3.48068298231584
"30",2.48740213090612,1.03542926190173,1.83997052427089,1.60549136778839
"31",2.21129191480858,0.338553712450892,5.37627942732957,3.33924878605659
"32",2.50879033673423,1.15881237670975,2.49183762606505,0.01
"33",2.67433978760556,1.39318865808565,3.9766419179787,1.05964854707468
"34",2.64697709184357,1.33408353102364,5.29532721506658,3.57349520123247
"35",2.2575351251324,0.413053748741793,2.68243179962089,1.42014291220543
"36",2.23136376252284,0.316647688597167,5.81832180528733,4.29637120652378
"37",2.86987118837112,1.94690326273735,2.16614357815578,2.22471314449502
"38",2.63578073093912,1.28918446011061,3.57004091419101,3.9250180287978
"39",2.45390705252639,0.89054886606109,2.88431478451897,0.01
"40",2.37568934483131,0.706825216777164,3.39606006437835,0.855516035811903
"41",2.60732012871151,1.20457302175075,2.47976596478758,4.24689913045364
"42",2.37368528186002,0.721353041764776,2.42782472547318,6.2801844374837
"43",2.58849266533429,1.17036236784207,1.74734721790497,3.90420196102613
"44",2.50351332156409,1.07900588543246,3.1032557044265,2.33852712156973
"45",2.48004980488393,0.902719856192102,2.58411918765087,0.01
"46",2.5938429166114,1.21817173475388,2.37383569693458,0.01
"47",2.25737190157425,0.273951206604922,1.06911540863384,4.78324396605406
"48",2.56863972281088,1.17280344778066,5.92589181196125,2.49395393819204
"49",2.41765180862834,0.829180247618255,0.842047899800003,0.010033968151706
"50",2.43157321281465,0.801002533842641,2.36756818313002,1.91159534867185
"51",2.6285908473146,1.33940936197909,3.77781374115888,0.01
"52",2.67896969201522,1.43149256567427,2.85576596010896,1.39659327332646
"53",2.54538415728985,1.18347087890425,0.853798828111591,2.06710598766793
"54",2.84686547625744,1.99041121997363,2.01922718711429,4.53055860154652
"55",2.42366579778821,0.749034545853633,0.967529578574367,2.88364547522697
"56",2.56181680670782,1.19182351033401,3.4143907987981,0.01
"57",2.38826498618771,0.800632897365384,5.84179115064066,2.9399269885676
"58",2.54073805534857,1.14475065576883,2.36349345039557,2.34128457883882
"59",2.45048329760459,0.906271480534665,3.47057671741159,4.84215710930092
"60",2.38370094912295,0.731493307617837,3.83535264660453,2.8660128475028
"61",2.8644898469474,1.88851812341894,1.55842822558892,0.0100764063445188
"62",2.48821373032915,0.933000897590145,4.25956125204956,2.26366865768158
"63",2.44686620903605,0.936884158678595,3.61572653126725,3.49523052160984
"64",2.53034315661732,1.1767081841577,2.39918357905931,6.05358002636523
"65",2.471165660762,0.999640349187507,2.94490249149577,5.25666620520731
"66",2.46736178266248,0.924465139813063,5.58289179469778,0.01
"67",2.43693798908128,0.74498501609559,4.53293523671207,1.20788890268185
"68",2.59016288515066,1.22039054836144,3.13196725464888,4.21348136065841
"69",2.81157966128615,1.67599898712971,3.27311633587323,0.01
"70",2.6297665830091,1.33717848974979,2.42373038331858,0.0194218797687735
"71",2.49133434577527,1.01297557910914,2.10932283553763,0.01
"72",2.44213505103083,0.861901637840691,1.27320215206617,0.01
"73",2.52345354379428,1.11535398042189,2.71290283124978,0.01
"74",2.49987854755734,0.998225851386746,7.54984995867644,3.90226126514332
"75",2.4513572242751,0.774840888361069,1.87466044871004,0.0106929720948615
"76",2.29306565528889,0.481922794030566,3.13569615498934,1.99634977587265
"77",2.42949530855134,0.929372600531983,1.55237482188753,0.162693821148904
"78",2.5667832315593,1.20291972297799,3.46228465008698,3.11511844544256
"79",2.49288037442523,1.09516164609953,3.50681300552964,3.98089695281384
"80",2.55713361952346,1.22010119928886,3.67505236564087,2.56281659109362
"81",2.42251644814869,0.782483936961763,2.16012268460298,1.86585289791179
"82",2.5274942724725,1.11487972248238,3.51779379304284,5.29468615290332
"83",2.51803044100892,1.09962988248118,2.61105360143139,7.78923414162821
"84",2.49019032347713,0.996963635940385,2.99022724285418,0.01
"85",2.41739252791466,0.783040828157614,2.67053588315441,2.57905888604724
"86",2.50297189361816,0.937781396606936,5.30028856408818,1.09253618523796
"87",2.6433712693761,1.39995696283879,3.63337723022106,0.01
"88",2.34303254021119,0.515748618867179,1.0368322105946,0.01
"89",2.67005032759838,1.31402718454912,1.24555221487193,4.47046179595875
"90",2.49340573179242,1.03439314766592,4.30194223689837,3.11933334288201
"91",2.62175542601322,1.26330072491529,2.74446677017748,0.01
"92",2.36324095686751,0.633724988262161,2.52785376776131,2.13313813104351
"93",2.68687699733903,1.60389724456865,5.33203204682556,2.73732184305054
"94",2.20784826310346,0.22875299778374,2.22164654231586,0.01
"95",2.70466310353769,1.46477339460724,2.52421115988679,0.686303703228283
"96",2.50806678549907,1.07054322085381,4.41528085077318,0.01
"97",2.42680439974957,0.796823644110127,2.22334728779471,2.18838206928089
"98",2.51026371032819,0.894692316121509,2.89878802733375,0.01
"99",2.40494294251166,0.817633785988696,4.53164913361841,3.33126952940258
"100",2.32279219639124,0.606006711049416,3.00379281462238,2.51028600511462
