"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",285.764179,31.408052,-0.350904,0,0,0,0,0,0
"2",31.408052,22.097984,-4.569635,0,0,0,0,0,0
"3",-0.350904,-4.569635,3904.562605,0,0,0,0,0,0
"4",0,0,0,760.718633,10.803626,43.498273,0,0,0
"5",0,0,0,10.803626,1.342309,0.796022,0,0,0
"6",0,0,0,43.498273,0.796022,3840.977717,0,0,0
"7",0,0,0,0,0,0,1.675282,-6618.988005,-0.186487
"8",0,0,0,0,0,0,-6618.988005,58942463.141689,-319.58889
"9",0,0,0,0,0,0,-0.186487,-319.58889,3846.749387
