"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",104.060323,-85.396391,966.88556,0,0,0,-10.903902,227.740119
"2",-85.396391,126.460929,4559.371993,0,0,0,-34.429941,1147.102547
"3",966.88556,4559.371993,461331.053796,0,0,0,-4585.713213,153402.313902
"4",0,0,0,121.777246,1.202035,11.477175,0,0
"5",0,0,0,1.202035,1.272053,-0.000844,0,0
"6",0,0,0,11.477175,-0.000844,3897.214606,0,0
"7",-10.903902,-34.429941,-4585.713213,0,0,0,-305.148447,-3282.02046
"8",227.740119,1147.102547,153402.313902,0,0,0,-3282.02046,111047.513346
