"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1980,-1657.762993,-50.992146,0,0,0,0,0,0
"2",-1657.762993,1396.050861,41.255131,0,0,0,0,0,0
"3",-50.992146,41.255131,3971.460778,0,0,0,0,0,0
"4",0,0,0,1980,-74.9981,15.773812,0,0,0
"5",0,0,0,-74.9981,3.024139,-0.162887,0,0,0
"6",0,0,0,15.773812,-0.162887,3897.579217,0,0,0
"7",0,0,0,0,0,0,1401.319687,-549.660557,-11.918049
"8",0,0,0,0,0,0,-549.660557,224.595536,4.616516
"9",0,0,0,0,0,0,-11.918049,4.616516,3883.477791
