"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",285.860309,31.391579,231.591386,0,0,0,-4.384712,5668.75794
"2",31.391579,22.103677,-4.3717,0,0,0,-0.315486,1587.617222
"3",231.591386,-4.3717,46203.03243,0,0,0,-8.723331,258.605251
"4",0,0,0,760.718633,10.803626,43.498273,0,0
"5",0,0,0,10.803626,1.342309,0.796022,0,0
"6",0,0,0,43.498273,0.796022,3840.977717,0,0
"7",-4.384712,-0.315486,-8.723331,0,0,0,0.148985,-116.846112
"8",5668.75794,1587.617222,258.605251,0,0,0,-116.846112,296505.964137
