"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.1970","-2.1786","12.8441"
"3"," 0.3187","-2.2316","12.7615"
"4"," 0.0616","-2.3038","11.9012"
"5"," 0.2066","-2.6370","12.3971"
"6"," 0.8942","-2.5447","13.5469"
"7"," 1.1991","-2.8911","13.8361"
"8"," 1.4406","-2.2012","14.3606"
"9"," 1.3628","-1.9621","14.4361"
"10"," 1.1923","-1.9568","13.8439"
"11"," 1.0361","-1.6177","13.8274"
"12"," 0.5583","-1.9582","13.1117"
"13"," 0.7771","-2.2000","13.5799"
"14"," 1.2483","-2.8502","14.0551"
"15"," 1.6141","-2.5101","14.3871"
"16"," 1.5785","-2.0248","14.0173"
"17"," 1.4608","-1.4486","14.6355"
"18"," 1.1808","-1.3768","13.6107"
"19"," 0.6050","-1.7583","13.4303"
"20","-0.0889","-1.5688","11.7118"
"21","-1.3725","-2.2194"," 7.3975"
"22","-2.5836","-3.2414"," 3.3730"
"23","-2.3188","-4.7837"," 4.5721"
"24","-0.7393","-4.2770"," 9.6618"
"25"," 0.7299","-4.0713","13.4959"
"26"," 1.4674","-3.7857","13.9968"
"27"," 1.7664","-3.1791","14.5168"
"28"," 1.4741","-2.4020","14.3554"
"29"," 1.4718","-1.8255","14.2191"
"30"," 1.1283","-1.6409","14.1955"
"31"," 0.9443","-1.3317","13.7216"
"32"," 0.2833","-1.5454","12.7606"
"33","-0.4304","-2.0233","10.9309"
"34","-0.9935","-2.9245"," 9.2242"
"35","-0.3437","-3.0957","11.5251"
"36"," 0.0819","-3.1728","12.3717"
"37"," 0.4935","-2.8067","13.1174"
"38"," 1.2678","-2.6268","13.9190"
"39"," 1.3546","-2.1716","13.9176"
"40"," 1.5695","-1.7554","14.2588"
"41"," 1.4904","-1.6533","14.1444"
"42"," 1.1015","-1.4101","13.7467"
"43"," 0.4523","-1.6765","12.7005"
"44","-0.3915","-1.6242","11.0209"
"45","-1.8395","-2.2496"," 5.7053"
"46","-3.7079","-3.5118"," 1.1858"
"47","-3.1210","-5.5506"," 2.0615"
"48","-1.5703","-5.7818"," 6.9668"
"49"," 0.2014","-5.3608","12.8912"
"50"," 0.9147","-5.1517","13.6446"
"51"," 2.0391","-4.5227","14.7197"
"52"," 1.8891","-4.3818","14.4751"
"53"," 2.2679","-3.8085","14.7762"
"54"," 1.3979","-3.4212","13.9034"
"55"," 1.7350","-2.9835","13.9772"
"56"," 1.5931","-2.3663","13.8233"
"57"," 1.5170","-2.3523","14.5122"
"58"," 1.3429","-2.3588","13.8053"
"59"," 1.7438","-2.4521","14.4861"
"60"," 1.5809","-2.0614","14.7452"
"61"," 1.1032","-1.9633","13.6522"
"62"," 1.0862","-1.8876","14.2544"
"63"," 1.1739","-1.9094","14.2017"
"64"," 1.2501","-1.6149","14.1388"
"65"," 0.8722","-1.1223","13.6773"
"66","-0.1711","-1.3267","11.6423"
"67","-2.1835","-2.2043"," 4.4014"
"68","-4.7903","-4.3219"," 0.5450"
"69","-3.5816","-6.4501"," 1.0652"
"70","-1.7180","-6.4194"," 6.4327"
"71","-0.0917","-5.9436","11.7227"
"72"," 1.1538","-5.5736","13.9864"
"73"," 1.6400","-5.0595","14.7816"
"74"," 1.7540","-4.6564","13.9894"
"75"," 2.1189","-4.3658","14.5768"
"76"," 1.8630","-3.8326","14.7126"
"77"," 1.5752","-3.0892","13.8796"
"78"," 2.0333","-3.0339","14.6216"
"79"," 1.8323","-2.7374","14.3544"
"80"," 1.6460","-2.6187","14.0102"
"81"," 1.4526","-2.0341","13.8536"
"82"," 1.3351","-2.0080","14.0384"
"83"," 1.2448","-1.3391","14.0358"
"84"," 0.6806","-1.6102","13.3111"
"85"," 0.0163","-1.9387","12.0595"
"86","-0.3593","-2.7642","10.9840"
"87","-0.0307","-2.6478","11.9913"
"88"," 0.2223","-2.2535","12.0904"
"89"," 0.6654","-2.4245","13.5307"
"90"," 1.1697","-2.1747","13.5489"
"91"," 1.0906","-1.8278","14.1571"
"92"," 0.8823","-1.7195","13.5528"
"93"," 0.4769","-1.7594","12.9760"
"94","-0.1789","-1.8999","11.9494"
"95","-0.8106","-2.1365","10.0164"
"96","-1.6191","-3.1913"," 6.6821"
"97","-1.1631","-3.6321"," 8.1435"
"98","-0.3366","-3.8154","10.7647"
"99"," 0.8015","-3.8833","13.4464"
"100"," 1.7834","-3.7025","14.3548"
