"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.0917","-2.4753","11.7656"
"3","-0.2793","-2.6197","11.5219"
"4"," 0.4053","-2.8300","12.9559"
"5"," 1.4273","-2.7869","13.9900"
"6"," 1.5841","-2.5742","14.4358"
"7"," 2.1753","-2.0402","14.8916"
"8"," 1.4499","-1.4297","13.9663"
"9"," 1.0928","-1.0895","14.0815"
"10"," 0.1440","-1.3929","12.5701"
"11","-1.5318","-2.2914"," 6.5230"
"12","-2.4567","-3.7003"," 3.9324"
"13","-1.9178","-4.7566"," 5.8255"
"14","-0.6647","-4.6722"," 9.9808"
"15"," 0.4821","-4.4748","13.2437"
"16"," 1.1215","-3.6639","13.8321"
"17"," 1.6303","-3.1822","14.3355"
"18"," 1.5919","-2.5233","14.1478"
"19"," 1.8571","-2.1237","14.6237"
"20"," 1.9700","-1.6708","14.5899"
"21"," 1.6074","-1.6555","14.0576"
"22"," 1.3151","-1.5695","14.0489"
"23"," 1.0287","-1.3979","13.5025"
"24"," 0.5356","-1.6497","13.3130"
"25","-0.3441","-2.1439","11.1878"
"26","-0.8916","-3.3484"," 9.1041"
"27","-0.2266","-3.5897","11.3862"
"28"," 1.4327","-3.1700","14.0357"
"29"," 1.7767","-2.3485","14.3810"
"30"," 1.8609","-1.9746","14.3500"
"31"," 1.9044","-1.6793","14.4979"
"32"," 1.5316","-1.4654","14.0450"
"33"," 0.7556","-1.1667","13.5177"
"34","-0.2041","-1.4823","11.4169"
"35","-2.2577","-2.5790"," 4.2909"
"36","-3.7678","-4.0219"," 1.1590"
"37","-2.6328","-5.9556"," 3.4139"
"38","-0.8793","-5.9132"," 9.3639"
"39"," 0.7775","-5.3935","13.4013"
"40"," 1.4929","-4.6567","14.3189"
"41"," 1.9013","-4.3834","14.1680"
"42"," 1.3506","-3.8654","14.5134"
"43"," 1.5346","-3.4267","14.0556"
"44"," 1.8198","-3.0408","14.2178"
"45"," 1.5430","-2.8655","14.3004"
"46"," 1.7844","-2.3053","14.6680"
"47"," 1.3535","-1.8700","13.5078"
"48"," 1.2492","-1.4778","14.1920"
"49"," 0.4671","-1.3355","12.6333"
"50","-0.5071","-1.8998","10.6641"
"51","-1.7214","-2.6688"," 6.0047"
"52","-2.1257","-4.1364"," 4.8425"
"53","-0.8115","-4.7343"," 9.6409"
"54"," 0.6598","-4.3740","13.4357"
"55"," 1.2843","-3.9078","14.0276"
"56"," 1.4162","-3.1387","13.8620"
"57"," 1.7231","-2.9278","14.5665"
"58"," 1.9155","-2.2389","14.2529"
"59"," 1.3737","-2.0298","13.9583"
"60"," 0.9338","-1.9039","13.8690"
"61"," 0.9024","-2.3256","13.6690"
"62"," 0.9385","-2.2941","13.8742"
"63"," 1.1405","-2.5144","13.9732"
"64"," 1.6914","-2.1335","14.3277"
"65"," 1.4849","-1.9629","14.2435"
"66"," 1.5190","-1.9776","13.5829"
"67"," 1.3670","-1.7510","14.0899"
"68"," 1.2708","-1.8507","13.9534"
"69"," 1.3109","-1.4184","13.7437"
"70"," 0.8034","-1.2738","13.7524"
"71"," 0.0356","-1.7092","12.3617"
"72","-0.6310","-2.0673","10.3389"
"73","-1.1420","-3.2324"," 8.8182"
"74","-0.4151","-3.3949","10.8967"
"75"," 0.7936","-3.6429","13.5778"
"76"," 1.6989","-3.1696","14.3452"
"77"," 1.5324","-2.4919","14.0617"
"78"," 1.6178","-2.4651","14.8351"
"79"," 1.6562","-2.2306","14.4612"
"80"," 1.8600","-1.6526","14.4565"
"81"," 1.4601","-1.2318","13.7873"
"82"," 0.9969","-0.9427","13.6932"
"83","-0.6211","-1.4047","10.1399"
"84","-3.4824","-2.3476"," 1.9733"
"85","-7.4596","-5.2346","-0.1142"
"86","-4.4020","-9.7929"," 0.7067"
"87","-2.2419","-9.6206"," 4.3554"
"88","-0.8167","-9.4985"," 9.5010"
"89"," 0.5773","-8.9414","12.7472"
"90"," 1.4080","-7.8269","14.3391"
"91"," 1.9855","-7.6550","14.3459"
"92"," 1.6967","-6.9310","14.4354"
"93"," 1.8501","-6.4163","14.3600"
"94"," 1.9660","-6.1302","14.1070"
"95"," 2.0249","-5.6125","14.5606"
"96"," 1.9417","-5.2125","14.2893"
"97"," 1.6435","-4.5296","14.1441"
"98"," 1.8809","-4.3589","14.2457"
"99"," 2.1211","-3.7337","14.4862"
"100"," 1.8875","-3.1599","14.1821"
