"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.1149","-2.2840","11.4708"
"3","-0.0766","-2.5186","11.6282"
"4"," 0.0619","-2.2068","11.9674"
"5","-0.1598","-2.3218","11.4255"
"6","-0.1538","-2.7514","11.6879"
"7","-0.3487","-2.7404","11.3287"
"8","-0.0654","-2.6348","11.6725"
"9"," 0.2600","-2.6245","12.5518"
"10"," 0.5909","-2.2406","13.1689"
"11"," 0.4157","-2.1947","13.0013"
"12"," 0.3631","-2.5910","13.0877"
"13"," 0.9787","-2.4746","13.4941"
"14"," 1.2041","-1.9906","14.3119"
"15"," 1.7674","-1.8213","14.4276"
"16"," 1.3827","-1.3680","14.1510"
"17"," 1.1869","-1.0760","14.1474"
"18","-0.1565","-1.0851","11.4556"
"19","-3.1203","-2.3987"," 2.1001"
"20","-5.6693","-5.2984"," 0.0850"
"21","-4.2241","-7.9930"," 0.7614"
"22","-2.3689","-7.5363"," 4.0297"
"23","-0.3014","-7.0535","10.9140"
"24"," 1.0290","-6.1666","13.7968"
"25"," 1.4248","-5.4979","14.3211"
"26"," 1.3782","-4.8555","14.4175"
"27"," 1.6555","-4.2607","14.0930"
"28"," 1.6173","-4.0721","14.4375"
"29"," 1.7946","-3.4291","14.2830"
"30"," 2.0100","-2.7583","14.8572"
"31"," 1.4015","-2.4875","13.7775"
"32"," 1.5348","-1.9516","13.9845"
"33"," 0.7557","-1.5004","13.0036"
"34"," 0.4947","-1.7271","13.0725"
"35","-0.1122","-2.0683","11.7222"
"36","-0.4207","-2.2871","10.9992"
"37","-0.5778","-2.4146"," 9.9748"
"38","-0.5088","-2.7353","10.5374"
"39","-0.2029","-2.8190","11.7596"
"40"," 0.1784","-2.6846","12.5495"
"41"," 0.8457","-2.4991","13.6901"
"42"," 1.2318","-2.3539","14.0457"
"43"," 1.1039","-2.5391","13.6616"
"44"," 1.2552","-2.1841","14.0856"
"45"," 1.2742","-1.8670","13.7158"
"46"," 1.0585","-1.7776","13.8775"
"47"," 0.9150","-2.0625","13.5297"
"48"," 0.7589","-1.8087","13.3343"
"49"," 0.0718","-1.3854","11.9455"
"50","-1.5570","-2.2363"," 6.7113"
"51","-3.1276","-3.1203"," 2.4315"
"52","-3.6784","-4.8756"," 1.4162"
"53","-1.9897","-6.2522"," 5.0234"
"54"," 0.1116","-5.7183","12.3194"
"55"," 1.4457","-5.2628","14.1624"
"56"," 1.9193","-4.6719","14.5467"
"57"," 1.9175","-3.9212","14.4484"
"58"," 1.6053","-3.3405","14.4121"
"59"," 1.9606","-2.8222","14.6310"
"60"," 1.3907","-2.4362","14.1058"
"61"," 1.8459","-2.2510","14.2006"
"62"," 1.8581","-2.1991","14.2387"
"63"," 1.7260","-1.6583","14.3779"
"64"," 1.2913","-1.1013","14.0732"
"65"," 0.9397","-1.3040","14.0809"
"66"," 0.3647","-1.2155","12.6694"
"67","-1.2731","-1.6144"," 7.6369"
"68","-4.7926","-3.0802"," 0.2157"
"69","-4.2975","-6.6792"," 0.5676"
"70","-2.3261","-7.0443"," 4.7493"
"71","-0.3938","-6.7350","10.9611"
"72"," 0.9325","-6.0329","13.6818"
"73"," 1.3822","-5.7191","14.2758"
"74"," 1.5084","-5.2114","14.2726"
"75"," 1.5640","-4.7358","14.6597"
"76"," 1.5738","-4.3572","14.3466"
"77"," 1.8280","-3.9366","14.4279"
"78"," 1.9517","-2.9094","14.1227"
"79"," 1.5376","-2.4079","14.0801"
"80"," 1.6029","-2.2392","14.4184"
"81"," 1.7270","-1.5818","14.5021"
"82"," 1.1514","-1.2861","13.8832"
"83"," 0.5158","-1.2699","13.4738"
"84","-0.5918","-1.5533","10.4531"
"85","-3.0394","-2.2715"," 2.7465"
"86","-6.6684","-4.8747"," 0.1394"
"87","-5.1854","-8.4938"," 0.3390"
"88","-3.3116","-8.4428"," 1.7779"
"89","-1.6627","-8.0491"," 6.3102"
"90","-0.3529","-7.5689","11.3666"
"91"," 0.9779","-7.4721","13.8056"
"92"," 1.5041","-7.2982","14.3358"
"93"," 1.5131","-6.5825","14.2414"
"94"," 2.0238","-6.0243","14.4862"
"95"," 1.7070","-5.4590","14.1976"
"96"," 1.7054","-4.7140","14.1093"
"97"," 1.6610","-4.0574","14.4084"
"98"," 1.6160","-3.2110","14.2828"
"99"," 1.5073","-3.1855","14.0489"
"100"," 1.9420","-2.5118","14.2990"
