"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.0449","-2.6971","12.2612"
"3"," 0.3678","-2.9247","12.5385"
"4"," 0.9893","-2.9759","13.9799"
"5"," 1.1533","-2.3799","13.9805"
"6"," 1.3678","-1.8505","13.9730"
"7"," 1.3497","-1.7889","14.3428"
"8"," 0.9140","-1.4890","13.4371"
"9"," 0.4244","-1.5352","13.1120"
"10","-0.7911","-1.6309"," 9.9431"
"11","-3.6324","-3.0931"," 1.5208"
"12","-4.5392","-5.2784"," 0.7886"
"13","-3.0794","-6.2739"," 1.9161"
"14","-1.2980","-6.2692"," 7.7555"
"15"," 0.6416","-5.8026","13.3523"
"16"," 1.7833","-4.9763","14.6731"
"17"," 1.3452","-4.6184","13.7862"
"18"," 1.9847","-3.9311","14.2717"
"19"," 1.8123","-3.5410","14.3751"
"20"," 2.1297","-2.9904","14.5853"
"21"," 1.6191","-2.0666","14.6198"
"22"," 1.5672","-1.6579","14.2803"
"23"," 1.1227","-1.2981","13.9663"
"24"," 0.1807","-1.4603","12.1417"
"25","-1.0554","-2.1739"," 8.3931"
"26","-1.9613","-3.2301"," 5.2600"
"27","-1.7762","-4.0052"," 5.8455"
"28","-0.3601","-4.1082","10.9737"
"29"," 0.7188","-3.4506","13.0362"
"30"," 1.0172","-2.9874","13.6892"
"31"," 1.3212","-2.6950","13.8980"
"32"," 1.2664","-2.8052","13.6670"
"33"," 1.6191","-2.3605","14.1910"
"34"," 1.6125","-2.0959","14.2376"
"35"," 1.6714","-1.9013","14.3427"
"36"," 1.3613","-1.1051","13.5111"
"37"," 0.9924","-1.3496","13.9911"
"38"," 0.0533","-1.8383","12.1279"
"39","-0.0564","-2.3703","11.7141"
"40","-0.1309","-2.4170","11.5897"
"41"," 0.2122","-2.8302","12.2479"
"42"," 0.7448","-2.7714","13.4601"
"43"," 0.7625","-2.4878","13.2401"
"44"," 1.2076","-2.3631","13.6982"
"45"," 0.9623","-2.5279","13.4049"
"46"," 1.0022","-2.0182","13.9624"
"47"," 0.8779","-2.1313","13.7140"
"48"," 1.0273","-2.4218","13.9922"
"49"," 1.1486","-2.0101","14.3914"
"50"," 1.1040","-1.6819","13.8632"
"51"," 0.7134","-1.4897","13.2838"
"52"," 0.1587","-1.5237","12.3043"
"53","-1.3252","-2.3214"," 7.8967"
"54","-2.2348","-3.2152"," 4.4017"
"55","-1.9165","-4.4844"," 5.4109"
"56","-0.3137","-4.5858","10.8892"
"57"," 0.8758","-4.2510","13.3490"
"58"," 1.3769","-3.9571","14.0517"
"59"," 1.5223","-3.2552","14.2742"
"60"," 2.1518","-2.7737","14.5801"
"61"," 1.7334","-2.0731","14.2892"
"62"," 1.2073","-1.8138","14.0967"
"63"," 1.1065","-1.8896","13.8663"
"64"," 0.3777","-1.6680","13.1579"
"65","-0.1444","-2.1897","11.9481"
"66","-0.0195","-2.4102","11.8072"
"67"," 0.0367","-2.5300","11.7889"
"68"," 0.5902","-2.3533","13.1876"
"69"," 1.0880","-2.3206","13.6613"
"70"," 1.0701","-2.2031","13.5950"
"71"," 1.2810","-2.1247","14.0314"
"72"," 0.9336","-2.0853","13.7585"
"73"," 0.8299","-2.0860","13.7247"
"74"," 1.0377","-2.2425","14.0970"
"75"," 1.0122","-1.9821","13.7411"
"76"," 1.1146","-1.8516","13.7245"
"77"," 1.1741","-1.6929","13.8186"
"78"," 0.3804","-1.4547","12.5330"
"79","-0.2642","-1.4681","11.3743"
"80","-2.1540","-2.4530"," 4.6585"
"81","-4.2655","-4.1637"," 0.8664"
"82","-3.1523","-6.2949"," 1.7866"
"83","-1.5938","-6.0536"," 6.4219"
"84","-0.2390","-5.5210","11.1862"
"85"," 1.0015","-5.0417","13.9522"
"86"," 1.4316","-4.7957","14.4515"
"87"," 1.5791","-4.5509","14.3963"
"88"," 1.5390","-3.9085","14.0671"
"89"," 1.7017","-3.5188","14.3594"
"90"," 1.7184","-2.8932","14.4114"
"91"," 1.8548","-2.5720","14.7631"
"92"," 1.6274","-2.1275","13.7907"
"93"," 1.2577","-2.1805","14.1642"
"94"," 0.8426","-1.7262","13.1972"
"95"," 0.5903","-1.6469","13.1215"
"96"," 0.4934","-1.5144","12.9727"
"97","-0.1950","-1.5004","11.4421"
"98","-2.1472","-2.1814"," 4.3180"
"99","-4.0427","-4.2498"," 1.2329"
"100","-2.9978","-5.4315"," 2.5375"
