"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.3121","-2.4801","12.3839"
"3"," 0.3848","-2.5623","12.9407"
"4"," 0.7921","-2.6087","13.5253"
"5"," 0.9900","-2.4438","13.8197"
"6"," 1.3717","-2.1918","14.2125"
"7"," 1.6151","-1.9735","14.3819"
"8"," 1.4920","-1.7648","14.4274"
"9"," 1.8061","-1.5975","14.2613"
"10"," 1.0970","-1.3762","13.8666"
"11"," 0.4252","-1.5312","13.0247"
"12","-0.3106","-1.9360","11.2426"
"13","-1.2228","-2.3105"," 8.1958"
"14","-2.2303","-3.1121"," 4.8500"
"15","-2.4915","-4.1222"," 3.9435"
"16","-1.4627","-4.9912"," 7.3399"
"17"," 0.2619","-4.9597","12.3615"
"18"," 1.4635","-4.4002","14.7392"
"19"," 1.9255","-3.7644","13.9872"
"20"," 1.8910","-3.3282","14.1055"
"21"," 1.6956","-2.7977","14.4484"
"22"," 2.0213","-2.4519","14.7109"
"23"," 1.4011","-1.8419","14.3873"
"24"," 1.2123","-1.9713","13.7640"
"25"," 1.2940","-1.8066","13.8958"
"26"," 1.2700","-1.2655","13.9620"
"27"," 0.9461","-0.8676","13.3947"
"28","-0.5152","-1.4068","10.2281"
"29","-3.0061","-2.5417"," 2.5285"
"30","-5.1427","-4.7664"," 0.3798"
"31","-3.7208","-7.2801"," 1.2706"
"32","-2.2915","-6.9742"," 3.9436"
"33","-0.6573","-6.8311","10.4231"
"34"," 0.9291","-6.1645","13.5894"
"35"," 1.4994","-5.7462","14.1101"
"36"," 1.7259","-5.1049","14.1369"
"37"," 1.8877","-5.0133","14.6183"
"38"," 1.6094","-4.2903","14.3967"
"39"," 1.8918","-3.8365","14.5061"
"40"," 1.7906","-3.6238","14.8342"
"41"," 1.5161","-2.7812","13.9011"
"42"," 1.5879","-2.2939","14.5924"
"43"," 1.5174","-1.9137","14.3820"
"44"," 1.6627","-1.5733","14.5103"
"45"," 1.0545","-1.4180","14.0310"
"46"," 0.5786","-2.1187","12.9057"
"47"," 0.6243","-2.3552","13.4980"
"48"," 0.7579","-2.6966","13.7577"
"49"," 0.7956","-2.8205","13.3147"
"50"," 1.8715","-1.8403","14.2504"
"51"," 1.6034","-0.9335","14.5446"
"52"," 0.5021","-1.2494","13.1452"
"53","-0.9210","-1.9196"," 9.3143"
"54","-2.6820","-2.8236"," 3.4257"
"55","-3.5069","-4.7313"," 1.9619"
"56","-1.8490","-5.8834"," 6.1027"
"57"," 0.0378","-5.7083","12.3240"
"58"," 0.7649","-5.3160","13.4713"
"59"," 1.6349","-5.0298","14.3131"
"60"," 1.8454","-4.7379","14.2811"
"61"," 1.8216","-4.6145","14.6428"
"62"," 1.7788","-4.1754","14.7376"
"63"," 2.0339","-3.6944","13.9730"
"64"," 1.9594","-2.9293","14.4486"
"65"," 1.9671","-2.3174","14.3895"
"66"," 1.5019","-2.1307","14.1989"
"67"," 1.0104","-1.6230","13.8869"
"68"," 0.8065","-1.8302","13.4453"
"69"," 0.8026","-1.7632","13.3779"
"70"," 0.4940","-1.4958","12.8838"
"71"," 0.1783","-2.1094","12.2110"
"72"," 0.0167","-2.7886","12.0875"
"73"," 0.5449","-2.3626","12.6627"
"74"," 0.6087","-2.5142","13.5278"
"75"," 1.1020","-2.2560","13.6940"
"76"," 0.9789","-2.4033","13.6821"
"77"," 1.1750","-2.2787","13.9200"
"78"," 0.7989","-2.0274","13.1148"
"79"," 1.1177","-1.9597","13.7386"
"80"," 0.7304","-1.8617","13.7893"
"81"," 0.7771","-1.7685","13.4461"
"82"," 0.8399","-2.0265","13.5731"
"83"," 0.8453","-2.1268","13.3202"
"84"," 0.6805","-1.9109","13.2775"
"85"," 0.8311","-1.6263","13.5562"
"86"," 0.4715","-1.7614","12.9513"
"87"," 0.2762","-2.1577","12.6223"
"88"," 0.1841","-2.0832","12.4260"
"89","-0.4061","-2.1864","11.3664"
"90","-1.1373","-2.5706"," 8.4902"
"91","-1.2776","-3.3036"," 7.6316"
"92","-0.6190","-3.7284","10.2925"
"93"," 0.6334","-3.6040","13.5967"
"94"," 1.3643","-3.1411","13.7692"
"95"," 1.1925","-2.8645","14.0437"
"96"," 1.4150","-2.5703","13.8449"
"97"," 1.6935","-2.5171","14.2918"
"98"," 1.9377","-2.4077","14.8635"
"99"," 1.0454","-1.9356","13.5497"
"100"," 0.5930","-2.1161","12.9455"
