"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.6466","-2.4920","13.2910"
"3"," 1.2009","-2.2760","14.0082"
"4"," 1.3971","-1.9704","14.0412"
"5"," 1.2591","-1.7758","13.9148"
"6"," 1.2894","-1.5490","14.2220"
"7"," 0.4394","-2.0263","12.8211"
"8"," 0.7428","-2.2317","13.4959"
"9"," 1.1461","-2.0384","13.6447"
"10"," 1.1024","-1.9790","13.2676"
"11"," 1.2552","-1.8469","13.9588"
"12"," 0.9693","-1.5138","13.5708"
"13"," 0.4124","-1.7223","13.2690"
"14","-0.1171","-1.9662","11.8984"
"15","-0.5253","-2.5322","10.3833"
"16","-0.2990","-2.5413","11.1841"
"17","-0.1250","-2.3927","11.9705"
"18","-0.5356","-2.5430","10.2543"
"19","-0.2201","-2.9103","11.9462"
"20"," 0.2511","-3.2883","12.2876"
"21"," 0.9566","-2.8385","14.0293"
"22"," 1.1277","-2.4342","13.8608"
"23"," 1.1571","-2.2256","14.2447"
"24"," 1.3360","-2.5797","14.0975"
"25"," 1.4420","-2.2812","14.2427"
"26"," 1.5098","-1.8818","14.7625"
"27"," 1.3075","-1.0745","14.2559"
"28"," 0.2710","-1.2046","12.9749"
"29","-1.1333","-2.0830"," 8.1956"
"30","-2.3637","-3.3165"," 3.9619"
"31","-2.1377","-4.2981"," 4.9720"
"32","-1.0007","-4.5976"," 8.5884"
"33"," 0.2269","-4.3497","12.6976"
"34"," 1.4087","-3.6436","13.9081"
"35"," 1.8646","-3.2024","14.8238"
"36"," 2.3424","-2.7687","14.8732"
"37"," 2.1718","-2.0620","14.5383"
"38"," 1.7836","-2.0092","14.3046"
"39"," 1.5616","-1.6491","14.5143"
"40"," 1.0781","-1.3298","14.0622"
"41"," 0.4678","-1.4649","13.1335"
"42","-0.6484","-1.6086"," 9.8206"
"43","-3.1706","-2.8400"," 2.0956"
"44","-4.1455","-4.9621"," 0.9411"
"45","-2.4915","-5.8477"," 3.7950"
"46","-0.6292","-5.5244","10.1423"
"47"," 0.5767","-5.4043","13.1158"
"48"," 1.7578","-4.8535","13.9795"
"49"," 1.6571","-4.4224","14.6072"
"50"," 1.8224","-4.4515","13.9010"
"51"," 1.7450","-4.4117","14.5998"
"52"," 1.4847","-3.5982","13.9485"
"53"," 1.7868","-3.3391","14.2563"
"54"," 2.0273","-2.8321","13.9404"
"55"," 1.6144","-2.6595","14.2888"
"56"," 2.0749","-2.1577","14.8439"
"57"," 2.1167","-1.8692","14.2104"
"58"," 1.8243","-1.3780","14.5028"
"59"," 1.0705","-1.5762","13.8220"
"60"," 0.8247","-1.3077","13.5790"
"61","-0.1019","-1.4558","11.6438"
"62","-1.8679","-2.3253"," 5.6682"
"63","-3.4700","-3.9226"," 1.2058"
"64","-2.4730","-5.1633"," 3.9091"
"65","-0.9014","-4.9568"," 9.4060"
"66"," 0.7180","-4.6870","13.4043"
"67"," 1.6561","-4.4289","14.0461"
"68"," 1.9650","-3.9173","14.5799"
"69"," 1.8290","-3.2188","14.6593"
"70"," 1.5291","-2.9590","14.1901"
"71"," 1.8091","-2.4187","14.2997"
"72"," 2.0726","-1.9884","14.8558"
"73"," 1.9293","-1.5692","14.5364"
"74"," 1.0293","-1.5072","14.1182"
"75"," 0.6577","-1.5570","13.2228"
"76"," 0.2492","-1.7866","12.3649"
"77","-0.2004","-2.1342","11.4565"
"78","-0.4833","-2.3454","10.6534"
"79","-0.8109","-3.1425"," 9.5368"
"80","-0.0309","-3.6547","12.0934"
"81"," 1.3511","-3.7995","14.0136"
"82"," 1.8237","-3.4262","14.6729"
"83"," 1.8262","-3.1673","14.7677"
"84"," 1.9275","-2.7776","14.6651"
"85"," 1.5356","-2.1112","14.3713"
"86"," 1.6504","-1.6831","13.8119"
"87"," 1.3362","-1.1890","14.2310"
"88"," 0.7055","-1.1842","13.6167"
"89","-0.6997","-1.5055"," 9.5674"
"90","-2.9675","-2.9601"," 2.2310"
"91","-3.1859","-4.8465"," 1.8742"
"92","-1.7657","-5.2242"," 5.8399"
"93"," 0.2389","-5.2715","12.4358"
"94"," 1.0827","-5.1445","13.7706"
"95"," 1.6113","-4.8576","14.2343"
"96"," 1.8397","-4.5254","14.4189"
"97"," 1.9675","-4.0265","14.7196"
"98"," 1.8316","-3.4773","14.6777"
"99"," 1.9210","-3.0299","14.5140"
"100"," 1.5763","-2.5653","13.9509"
