"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.1391","-2.3752","11.7909"
"3","-0.0669","-2.3543","11.8120"
"4"," 0.6122","-2.9103","13.2456"
"5"," 1.0356","-3.0361","14.1545"
"6"," 1.5774","-2.6500","13.9812"
"7"," 1.2628","-2.5656","13.6847"
"8"," 1.1343","-2.4349","13.8068"
"9"," 1.7432","-2.2538","14.1292"
"10"," 2.0236","-2.1575","14.5771"
"11"," 1.5991","-1.9756","14.2524"
"12"," 1.8369","-1.5541","14.2255"
"13"," 1.3199","-1.7194","14.5144"
"14"," 0.8943","-1.7109","13.6551"
"15"," 0.7044","-1.5834","13.1652"
"16"," 0.2102","-1.8703","12.8746"
"17","-0.4406","-2.3565","10.8426"
"18","-0.7467","-2.9603"," 9.6036"
"19","-0.4750","-3.2193","10.3162"
"20"," 0.1118","-3.3598","11.8277"
"21"," 0.5586","-3.3665","13.2281"
"22"," 0.8381","-2.7425","14.2698"
"23"," 1.3838","-2.6559","14.0393"
"24"," 2.0496","-2.5569","14.4971"
"25"," 1.6651","-2.1141","14.2549"
"26"," 1.2743","-1.9233","13.9621"
"27"," 1.4857","-2.0979","13.9772"
"28"," 1.2989","-1.5797","14.1934"
"29"," 1.0005","-1.5758","13.7023"
"30"," 0.5829","-1.4875","13.1755"
"31","-0.1235","-2.2257","11.9720"
"32"," 0.1231","-2.4794","12.2689"
"33"," 0.2230","-2.4750","12.4008"
"34"," 0.5104","-2.2436","12.7026"
"35"," 0.9603","-2.4705","13.9808"
"36"," 1.5173","-2.3697","14.1248"
"37"," 1.3534","-2.1043","14.2212"
"38"," 1.6091","-2.0152","14.6346"
"39"," 1.4841","-1.5390","14.4239"
"40"," 0.7664","-1.4722","13.3124"
"41","-0.1943","-1.7533","11.2775"
"42","-1.0065","-2.3588"," 8.5219"
"43","-1.6693","-3.2405"," 6.6245"
"44","-1.3239","-3.7926"," 7.6355"
"45","-0.0659","-3.7532","11.8514"
"46"," 0.7392","-3.4386","13.1708"
"47"," 1.4065","-2.7336","14.2296"
"48"," 1.4654","-2.5129","14.2792"
"49"," 1.5284","-2.3470","14.6833"
"50"," 1.3200","-1.8861","14.0621"
"51"," 0.8554","-1.9395","13.0825"
"52"," 0.8770","-1.8764","13.2497"
"53"," 0.4862","-2.1102","13.3066"
"54"," 0.2998","-1.8390","13.0246"
"55","-0.1004","-2.1646","11.7380"
"56"," 0.1490","-2.1866","12.1900"
"57","-0.0614","-2.5532","12.0566"
"58"," 0.1041","-2.5839","12.2159"
"59"," 0.3885","-2.3867","12.8598"
"60"," 0.5267","-2.5265","12.9944"
"61"," 0.6584","-2.6169","13.4518"
"62"," 1.0865","-2.3792","13.5054"
"63"," 1.3273","-2.6265","14.0396"
"64"," 1.5568","-2.4866","13.9867"
"65"," 1.3798","-2.3470","14.4558"
"66"," 1.0375","-2.0578","13.8613"
"67"," 0.7170","-2.2905","13.0007"
"68"," 0.8104","-2.4288","13.3169"
"69"," 1.3407","-2.1821","13.9556"
"70"," 1.2474","-1.9584","14.1341"
"71"," 0.9844","-1.5712","14.1708"
"72"," 0.3247","-1.8430","12.8285"
"73"," 0.0264","-2.0362","12.0615"
"74","-0.3489","-2.6456","11.4219"
"75","-0.2328","-3.0136","11.5106"
"76"," 0.5162","-3.0574","13.0063"
"77"," 1.0581","-2.8186","13.3533"
"78"," 1.2626","-2.3483","13.9944"
"79"," 1.0688","-2.1161","13.7254"
"80"," 1.1561","-1.8997","13.8407"
"81"," 1.0127","-1.6777","13.6315"
"82"," 0.5623","-1.3855","13.1639"
"83","-0.0931","-1.8917","11.8376"
"84","-0.8043","-2.0085"," 9.3891"
"85","-1.7886","-2.6825"," 5.6947"
"86","-2.8041","-3.8972"," 2.5474"
"87","-1.5644","-4.9397"," 6.9547"
"88"," 0.2415","-4.8902","12.8237"
"89"," 1.0959","-4.4391","13.3966"
"90"," 1.5770","-4.0913","14.5946"
"91"," 2.1043","-3.5466","14.6586"
"92"," 1.8714","-2.9832","14.8005"
"93"," 1.8573","-2.6990","14.3056"
"94"," 1.9384","-2.6474","14.4626"
"95"," 1.8433","-2.3233","14.5137"
"96"," 1.8565","-2.1448","14.1307"
"97"," 1.6337","-1.8740","14.4289"
"98"," 1.1849","-2.0504","13.9012"
"99"," 1.1579","-2.0770","14.0869"
"100"," 0.9740","-2.1181","13.6637"
