"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.0629","-2.2492","11.7850"
"3"," 0.2248","-2.2929","12.4622"
"4"," 0.3980","-2.2778","12.7057"
"5"," 0.6345","-2.4781","13.4845"
"6"," 1.1432","-2.3143","13.5601"
"7"," 1.5036","-2.0252","14.1171"
"8"," 0.9631","-1.8560","13.7178"
"9"," 1.1402","-2.2824","13.6405"
"10"," 0.8951","-2.3178","13.5401"
"11"," 0.7251","-2.1193","13.6757"
"12"," 0.7843","-2.0035","13.4915"
"13"," 0.7888","-2.1145","13.7731"
"14"," 1.0885","-1.9398","13.9200"
"15"," 0.9281","-1.9581","13.2957"
"16"," 0.6416","-1.6753","13.1559"
"17"," 0.3175","-2.0742","12.9158"
"18"," 0.4064","-2.1231","13.0001"
"19"," 0.6373","-2.4840","13.1224"
"20"," 1.0805","-2.4637","13.9279"
"21"," 1.2176","-2.0975","13.9387"
"22"," 1.3832","-1.6470","14.0066"
"23"," 0.8820","-1.3058","13.4062"
"24","-0.0641","-1.3063","11.8226"
"25","-2.0086","-2.3941"," 5.0148"
"26","-3.6102","-4.1556"," 1.1453"
"27","-2.7276","-5.5940"," 3.5849"
"28","-0.9848","-5.3806"," 9.2077"
"29"," 0.6504","-5.0612","13.5613"
"30"," 1.4592","-4.3599","14.5236"
"31"," 1.8155","-3.4068","14.4371"
"32"," 1.9511","-2.5846","14.3807"
"33"," 1.7079","-2.2037","14.2633"
"34"," 1.5607","-1.6281","13.9323"
"35"," 1.3013","-1.2742","14.2550"
"36"," 0.4024","-1.3634","13.0990"
"37","-0.8216","-1.9963"," 9.6074"
"38","-2.0003","-2.9600"," 5.5433"
"39","-2.4789","-3.8071"," 3.7967"
"40","-1.5580","-4.4592"," 6.6848"
"41","-0.1645","-4.6309","11.7463"
"42"," 1.2511","-4.0776","13.6667"
"43"," 1.3653","-3.5681","14.1492"
"44"," 1.4901","-2.8646","14.3552"
"45"," 1.6224","-2.6621","14.4350"
"46"," 1.7968","-2.3364","14.2590"
"47"," 1.7561","-2.0414","14.4852"
"48"," 1.8165","-1.6092","14.3954"
"49"," 1.6861","-1.5308","14.0513"
"50"," 1.3432","-1.5018","13.9634"
"51"," 0.6823","-1.3096","13.1000"
"52","-0.1206","-1.7170","11.6561"
"53","-0.9307","-2.8047"," 9.6049"
"54","-1.2352","-2.9777"," 7.7531"
"55","-0.7889","-3.3549"," 9.4827"
"56"," 0.2851","-3.3340","12.4808"
"57"," 1.1425","-2.9686","13.6933"
"58"," 1.6573","-2.4141","14.3513"
"59"," 1.3927","-2.2883","14.0188"
"60"," 1.5385","-2.0381","14.2807"
"61"," 1.4397","-1.5270","13.8627"
"62"," 1.0579","-1.2168","13.8374"
"63"," 0.1213","-1.4188","12.5081"
"64","-1.3110","-2.3943"," 7.9952"
"65","-1.9035","-3.4254"," 5.8145"
"66","-1.1928","-4.1922"," 8.0019"
"67"," 0.4281","-4.4573","12.8377"
"68"," 1.2324","-3.8478","14.0674"
"69"," 1.6921","-3.4287","14.0085"
"70"," 1.7002","-2.6328","14.4171"
"71"," 1.2114","-2.5379","13.9584"
"72"," 1.0559","-2.2525","13.7736"
"73"," 0.7301","-1.7408","13.1902"
"74"," 0.8032","-1.7976","13.1764"
"75"," 0.6272","-1.5816","13.1849"
"76","-0.1268","-1.3250","11.9996"
"77","-2.1815","-2.2792"," 4.7059"
"78","-4.8860","-4.1618"," 0.5476"
"79","-3.9316","-7.0971"," 1.2016"
"80","-1.8636","-7.0236"," 6.1942"
"81"," 0.0941","-6.5982","12.4507"
"82"," 0.9825","-6.2469","13.5413"
"83"," 1.6429","-5.7027","14.5197"
"84"," 2.0168","-5.3477","14.7222"
"85"," 1.6472","-4.9539","14.6260"
"86"," 1.8746","-4.1146","14.4440"
"87"," 1.9973","-3.4748","14.4645"
"88"," 1.5775","-3.0169","14.3523"
"89"," 1.9280","-2.7015","14.5413"
"90"," 1.7886","-2.4755","14.4566"
"91"," 1.7184","-2.3999","14.6657"
"92"," 1.8047","-2.1118","14.2133"
"93"," 1.4202","-1.6465","13.8739"
"94"," 1.0000","-1.5891","13.8112"
"95"," 0.5635","-2.1083","13.2340"
"96"," 0.6125","-2.3197","13.1574"
"97"," 0.9028","-1.7849","13.4467"
"98"," 0.8361","-1.7055","13.7500"
"99"," 0.7105","-1.7833","13.2884"
"100"," 0.9321","-1.8287","13.8246"
