"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.1452","-2.5843","11.4287"
"3"," 0.0715","-2.2808","12.0973"
"4","-0.0412","-2.3076","11.8021"
"5","-0.0950","-2.4790","11.6517"
"6"," 0.3450","-2.3607","12.5311"
"7"," 0.5307","-1.8141","13.0286"
"8"," 0.0759","-1.5456","11.8446"
"9","-1.3250","-2.0190"," 7.6793"
"10","-3.5117","-3.4608"," 1.6066"
"11","-3.1795","-5.2768"," 1.8405"
"12","-1.4932","-5.9985"," 7.1822"
"13"," 0.3370","-5.6894","13.0986"
"14"," 1.2927","-5.5384","14.1041"
"15"," 1.3873","-5.0881","14.2336"
"16"," 1.9626","-4.7451","14.1868"
"17"," 2.0865","-3.9402","14.5300"
"18"," 1.7320","-3.4737","13.9664"
"19"," 1.7853","-2.7921","14.4066"
"20"," 2.0445","-2.2001","14.7637"
"21"," 1.7053","-1.9766","14.1755"
"22"," 1.4477","-1.6374","14.3986"
"23"," 0.9634","-1.2583","13.6577"
"24"," 0.1694","-1.6536","12.4075"
"25","-0.5165","-1.9398","10.4539"
"26","-1.3101","-2.7519"," 8.0368"
"27","-1.4245","-3.2283"," 7.3092"
"28","-0.6082","-4.3315","10.5668"
"29"," 0.7424","-3.9997","13.7163"
"30"," 1.4745","-3.4773","13.8719"
"31"," 1.7874","-3.3976","14.5084"
"32"," 1.8098","-2.6855","14.2737"
"33"," 1.4940","-2.1895","13.9886"
"34"," 1.6147","-2.1283","14.5202"
"35"," 1.5003","-1.5029","13.9058"
"36"," 0.9018","-1.3693","13.7153"
"37"," 0.2336","-1.9361","12.7084"
"38","-0.4354","-2.2702","11.2546"
"39","-1.0925","-2.5790"," 8.4517"
"40","-1.7270","-3.2184"," 5.9742"
"41","-1.3057","-4.1069"," 7.5182"
"42"," 0.2031","-3.9005","12.3923"
"43"," 1.1872","-3.9011","14.1901"
"44"," 1.8129","-3.4002","14.4176"
"45"," 2.0475","-2.6799","14.4607"
"46"," 1.9257","-2.2129","14.7324"
"47"," 2.0132","-2.2599","14.6938"
"48"," 1.4324","-1.7382","14.1742"
"49"," 1.3341","-2.1469","13.9845"
"50"," 1.4928","-2.1084","14.0239"
"51"," 1.5937","-2.0977","14.2992"
"52"," 1.2980","-1.8695","13.4936"
"53"," 1.4398","-1.7345","13.9559"
"54"," 1.4403","-1.5180","14.2794"
"55"," 0.8902","-1.2512","13.4853"
"56"," 0.3974","-1.5468","12.8249"
"57"," 0.1594","-1.7217","12.1644"
"58","-0.5076","-2.0387","10.8592"
"59","-1.1299","-2.6031"," 8.4736"
"60","-1.0673","-3.2988"," 8.8158"
"61","-0.4662","-3.4617","10.4220"
"62"," 0.6078","-3.4938","12.7765"
"63"," 1.1975","-2.8792","14.1032"
"64"," 1.5473","-2.2835","14.2712"
"65"," 1.3369","-2.0811","13.7794"
"66"," 0.8736","-2.0130","13.9549"
"67"," 0.8999","-1.9009","13.7086"
"68"," 0.6061","-1.6110","13.1619"
"69"," 0.1427","-2.3299","12.2747"
"70"," 0.3271","-2.4751","12.6160"
"71"," 0.7873","-2.6290","13.5999"
"72"," 1.2487","-2.0658","13.7792"
"73"," 1.0955","-1.8613","13.6666"
"74"," 0.9111","-1.8819","13.7406"
"75"," 1.1073","-1.8544","13.5752"
"76"," 1.0995","-2.3514","13.5688"
"77"," 1.3111","-2.6601","14.1452"
"78"," 1.3439","-2.0347","14.3490"
"79"," 1.1675","-1.8582","13.9023"
"80"," 1.1801","-1.8491","13.4472"
"81"," 1.3603","-1.6886","14.1970"
"82"," 1.4824","-1.6634","13.9050"
"83"," 1.3753","-1.6148","13.9375"
"84"," 0.5698","-1.5311","13.6031"
"85"," 0.2368","-1.7267","12.6128"
"86","-0.2153","-2.1933","11.5395"
"87","-0.5373","-2.5621","10.5924"
"88","-0.2618","-2.9945","11.2082"
"89"," 0.5270","-3.3866","13.0235"
"90"," 1.1939","-3.1461","14.1149"
"91"," 1.4849","-2.7087","14.3899"
"92"," 1.2500","-1.7897","14.0990"
"93"," 1.1618","-1.6877","13.6197"
"94"," 1.0675","-1.1875","13.7408"
"95"," 0.4920","-1.5370","13.3321"
"96","-0.3520","-1.7774","11.1297"
"97","-1.6549","-2.7300"," 6.7355"
"98","-1.9371","-3.7135"," 5.1723"
"99","-1.5612","-4.2776"," 6.7656"
"100","-0.0279","-4.6192","11.7635"
