"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.2321","-2.2382","12.6996"
"3"," 0.6930","-2.6034","13.4116"
"4"," 1.0393","-2.3945","13.8233"
"5"," 1.1078","-1.8329","13.8466"
"6"," 1.0033","-2.0719","14.2213"
"7"," 1.2436","-1.4627","14.0018"
"8"," 0.7587","-1.5161","13.3682"
"9"," 0.0524","-1.9011","12.0481"
"10","-0.1127","-2.3646","11.4896"
"11","-0.1035","-2.7651","11.5713"
"12"," 0.3811","-2.9189","13.0597"
"13"," 0.7843","-2.6568","13.5969"
"14"," 1.4647","-2.3201","14.1305"
"15"," 1.5560","-1.9836","14.4371"
"16"," 1.1337","-1.6186","13.8921"
"17"," 0.5724","-1.0561","13.4918"
"18","-0.9830","-1.3111"," 9.0214"
"19","-5.8420","-2.5403","-0.2955"
"20"," 4.1177","-7.7710","15.1572"
"21"," 1.8371","-7.1821","14.0472"
"22"," 1.8102","-6.2840","14.3743"
"23"," 1.6752","-5.7475","14.1746"
"24"," 1.4283","-5.2811","14.3673"
"25"," 1.9120","-4.8218","14.5510"
"26"," 1.8324","-4.2242","14.3276"
"27"," 1.9350","-3.8081","14.6310"
"28"," 1.6355","-3.2358","14.2584"
"29"," 1.5357","-2.7220","14.1402"
"30"," 1.3462","-2.6539","14.0800"
"31"," 1.4058","-2.2777","14.1711"
"32"," 0.7555","-1.8671","13.1387"
"33"," 0.7567","-2.1015","13.6275"
"34"," 0.8709","-2.0047","13.8362"
"35"," 1.2634","-1.8891","14.3844"
"36"," 1.2827","-1.6205","14.3628"
"37"," 0.7890","-1.5763","13.2314"
"38"," 0.4039","-1.6879","12.5086"
"39","-0.2242","-1.8732","11.3481"
"40","-0.9811","-2.3057"," 8.8559"
"41","-1.4112","-2.8145"," 7.5597"
"42","-1.6961","-3.8207"," 6.2787"
"43","-0.4544","-3.6855","11.1724"
"44"," 0.8439","-3.5892","13.6772"
"45"," 1.3672","-3.3031","14.1942"
"46"," 1.9145","-2.6866","14.2125"
"47"," 1.8688","-2.4463","14.3119"
"48"," 1.8182","-2.1159","14.6912"
"49"," 1.8989","-1.5702","14.4799"
"50"," 1.4286","-1.3338","14.6002"
"51"," 0.6271","-1.1898","13.0477"
"52","-0.5945","-1.3931","10.3512"
"53","-3.7045","-2.2744"," 1.5594"
"54","-8.4068","-5.2066"," 0.0358"
"55","-7.4908","-9.8870","-0.2624"
"56","-5.6285","-9.8598"," 0.1818"
"57","-3.8073","-9.6056"," 1.1736"
"58","-2.2404","-9.0935"," 4.7736"
"59"," 0.0575","-8.3409","12.2759"
"60"," 1.4677","-7.9163","14.3827"
"61"," 1.6941","-7.3825","13.8942"
"62"," 1.6988","-6.8678","14.3674"
"63"," 1.7471","-6.1806","14.0033"
"64"," 2.0732","-5.8517","14.3669"
"65"," 1.8789","-5.3801","14.6025"
"66"," 1.3518","-4.5336","13.9429"
"67"," 1.3793","-3.5695","14.1605"
"68"," 1.7015","-3.3290","14.1406"
"69"," 2.1885","-2.8424","14.5286"
"70"," 1.9558","-2.9065","14.4440"
"71"," 1.6835","-2.4936","14.0268"
"72"," 2.1443","-1.7010","14.4706"
"73"," 1.5658","-1.4039","14.2181"
"74"," 1.1486","-1.2647","13.6625"
"75"," 1.1256","-1.7672","13.8449"
"76"," 0.7050","-1.8437","13.4647"
"77"," 0.8750","-2.1479","12.9348"
"78"," 1.1581","-1.9719","13.8552"
"79"," 0.9876","-2.0853","13.8363"
"80"," 0.9306","-2.0420","13.7105"
"81"," 0.7953","-2.3649","13.7696"
"82"," 1.1476","-2.3250","13.9054"
"83"," 1.4981","-2.2922","14.3123"
"84"," 1.1437","-1.9198","13.8533"
"85"," 0.8571","-1.7369","13.6765"
"86"," 0.6895","-2.0027","13.6400"
"87"," 0.5613","-2.3254","13.2220"
"88"," 0.3980","-2.5226","12.7379"
"89"," 0.7017","-2.6392","13.6667"
"90"," 1.0983","-2.6052","13.5704"
"91"," 1.4414","-2.7818","14.3561"
"92"," 1.4926","-2.1958","13.8344"
"93"," 1.2108","-1.8126","13.9160"
"94"," 1.1792","-1.6458","14.0547"
"95"," 0.8213","-1.2583","13.7319"
"96"," 0.0924","-1.6871","12.5673"
"97","-1.1699","-2.0631"," 8.1012"
"98","-2.8976","-3.5636"," 2.7563"
"99","-2.1849","-4.9449"," 4.5847"
"100","-0.5087","-4.8081","10.7448"
