"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.3327","-2.1738","12.3886"
"3"," 0.0113","-2.2740","12.1380"
"4"," 0.0577","-2.5730","12.0568"
"5"," 0.4536","-2.6041","13.0177"
"6"," 1.4259","-2.5855","14.1574"
"7"," 0.9803","-2.1543","13.7720"
"8"," 0.5612","-2.1641","13.1263"
"9"," 1.1504","-2.3284","14.0977"
"10"," 1.3474","-2.2652","14.1918"
"11"," 1.6179","-1.8322","14.5936"
"12"," 1.5952","-1.5026","13.9228"
"13"," 1.1069","-1.3277","13.5813"
"14"," 0.2955","-1.8363","12.6378"
"15","-0.0835","-1.9600","11.3729"
"16","-0.6783","-2.3827","10.0376"
"17","-1.0136","-2.6091"," 9.3862"
"18","-1.1618","-3.3995"," 8.4935"
"19","-0.1297","-3.7188","11.6146"
"20"," 0.8848","-3.6551","13.5015"
"21"," 1.3327","-3.2087","13.8974"
"22"," 1.5071","-2.4570","14.0130"
"23"," 1.5240","-2.0852","14.2220"
"24"," 1.2629","-1.7991","14.2577"
"25"," 0.9863","-1.7832","13.8213"
"26"," 0.8631","-1.7259","13.5528"
"27"," 0.4037","-1.5710","13.2343"
"28","-0.2348","-1.7803","11.1247"
"29","-1.4614","-2.2906"," 7.1002"
"30","-2.6547","-3.5051"," 3.5596"
"31","-2.3986","-4.3359"," 3.4926"
"32","-0.9786","-4.9688"," 8.6997"
"33"," 0.7747","-4.7504","13.2037"
"34"," 1.5054","-4.5349","13.9932"
"35"," 1.7936","-3.9968","14.7895"
"36"," 1.8926","-3.3315","14.7877"
"37"," 2.0071","-2.4676","14.7680"
"38"," 1.6766","-1.8773","13.7234"
"39"," 1.3671","-1.3953","14.0238"
"40"," 0.8450","-1.4093","13.7544"
"41"," 0.2668","-1.6270","12.3754"
"42","-0.1618","-2.0043","11.5948"
"43","-0.7127","-2.2736"," 9.9503"
"44","-1.1361","-3.3242"," 8.4513"
"45"," 0.0128","-3.6545","11.9962"
"46"," 1.4678","-3.4921","14.8282"
"47"," 2.0759","-2.7513","14.3768"
"48"," 1.7355","-2.1373","14.1678"
"49"," 1.4870","-1.7684","14.3955"
"50"," 1.4314","-2.0987","14.0746"
"51"," 1.3747","-1.9549","13.9970"
"52"," 1.4645","-1.9827","14.2272"
"53"," 1.4899","-2.0321","14.3287"
"54"," 1.6228","-1.6219","14.4123"
"55"," 0.9951","-1.3800","13.4223"
"56"," 0.6006","-2.1805","13.1103"
"57"," 0.5999","-1.5994","13.2250"
"58","-0.1087","-1.7794","11.3070"
"59","-0.6767","-2.4121","10.2439"
"60","-0.7364","-2.6283"," 9.5247"
"61","-0.3501","-2.7362","11.0763"
"62"," 0.2027","-3.1430","12.2442"
"63"," 1.4180","-3.2493","14.2407"
"64"," 1.8647","-2.8828","14.5468"
"65"," 1.7012","-2.6065","14.2111"
"66"," 1.7918","-2.0235","14.7613"
"67"," 1.2937","-2.1417","14.1520"
"68"," 1.3047","-1.8082","14.1765"
"69"," 0.5426","-1.6369","13.2121"
"70"," 0.1184","-1.4232","12.3068"
"71","-1.3170","-1.8667"," 7.8726"
"72","-4.1135","-3.2242"," 0.5129"
"73","-3.6106","-6.0674"," 1.5099"
"74","-1.6770","-6.4292"," 6.8924"
"75","-0.0644","-6.1577","12.0774"
"76"," 0.9237","-5.8010","13.5058"
"77"," 1.4311","-5.1223","14.2100"
"78"," 1.9669","-4.5441","14.5955"
"79"," 1.4362","-4.0897","14.2421"
"80"," 1.7810","-3.6065","14.5942"
"81"," 1.8951","-2.9306","14.6751"
"82"," 1.5555","-2.5038","14.3809"
"83"," 1.7807","-2.1104","14.3838"
"84"," 1.5522","-1.6171","14.1246"
"85"," 1.3685","-1.2644","13.9038"
"86"," 0.2728","-1.1954","12.6719"
"87","-1.2452","-1.9406"," 7.9093"
"88","-3.4432","-3.1965"," 1.9062"
"89","-4.1944","-5.6421"," 0.9967"
"90","-2.1398","-6.3641"," 4.5873"
"91","-0.0190","-5.9495","12.6083"
"92"," 0.9322","-5.5709","13.6164"
"93"," 1.5083","-5.0093","14.1296"
"94"," 1.9841","-4.7033","13.7967"
"95"," 1.5837","-4.1746","14.2244"
"96"," 2.1605","-4.1131","14.6701"
"97"," 2.2600","-3.4940","14.8208"
"98"," 1.5977","-2.6501","14.4180"
"99"," 1.9628","-2.3250","14.9067"
"100"," 1.2960","-1.6066","14.0696"
