"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.1143","-2.7115","12.0155"
"3"," 0.6880","-2.5672","13.5513"
"4"," 0.6911","-2.2328","13.4419"
"5"," 0.5974","-2.3947","13.1784"
"6"," 0.9575","-2.2227","13.5846"
"7"," 0.8901","-2.1617","13.5987"
"8"," 1.5012","-1.8895","14.4717"
"9"," 1.4089","-1.8944","14.3922"
"10"," 1.1002","-1.5389","13.7139"
"11"," 0.7868","-1.4769","13.2566"
"12"," 0.5804","-1.3626","12.8659"
"13","-0.5907","-2.2945","10.3667"
"14","-1.1901","-2.9653"," 8.4485"
"15","-0.9212","-3.2691"," 9.5953"
"16"," 0.2677","-3.6230","12.7050"
"17"," 0.9990","-3.1653","13.5278"
"18"," 1.7218","-2.7293","14.5163"
"19"," 2.0462","-2.2712","14.3753"
"20"," 1.2945","-1.8001","13.8946"
"21"," 1.1415","-1.5519","13.4284"
"22"," 0.9984","-1.6100","13.9433"
"23"," 0.7191","-1.7411","13.4664"
"24"," 0.1352","-2.0221","12.0304"
"25","-0.1899","-2.0660","11.9347"
"26","-0.8721","-2.6493"," 9.5031"
"27","-1.0401","-2.9766"," 8.6533"
"28","-0.3005","-3.1509","11.1102"
"29"," 0.3250","-3.2594","12.4770"
"30"," 1.4354","-2.7545","13.8636"
"31"," 1.5244","-2.4553","13.9479"
"32"," 1.8456","-2.0311","14.2763"
"33"," 1.6948","-1.6181","14.8110"
"34"," 1.0986","-1.3110","13.6607"
"35"," 0.0918","-1.4816","12.2936"
"36","-0.9840","-2.1889"," 8.8204"
"37","-1.9199","-3.3560"," 5.2370"
"38","-1.2989","-3.9464"," 7.9262"
"39"," 0.1271","-4.1897","12.8000"
"40"," 1.3952","-4.0691","14.1208"
"41"," 1.7416","-3.6638","14.0633"
"42"," 2.0659","-3.0898","14.5480"
"43"," 1.6687","-2.9488","14.3951"
"44"," 1.6850","-2.3133","14.1598"
"45"," 1.5972","-1.9056","14.6305"
"46"," 1.4795","-1.5299","13.8281"
"47"," 1.2967","-1.3650","14.3084"
"48"," 0.8640","-1.4642","12.7541"
"49"," 0.3620","-1.3320","12.7464"
"50","-0.9340","-2.2111"," 9.2018"
"51","-1.8685","-3.4823"," 5.7183"
"52","-0.7950","-3.9444"," 9.6999"
"53"," 0.0379","-3.6819","12.2423"
"54"," 0.7452","-2.8647","13.3629"
"55"," 0.9661","-2.7995","13.1883"
"56"," 1.4526","-2.0673","13.9425"
"57"," 1.1703","-1.8130","13.7085"
"58"," 0.9399","-1.9056","13.6528"
"59"," 0.7928","-1.8394","13.1112"
"60"," 0.6385","-2.1559","13.4085"
"61"," 0.8358","-2.5133","13.4862"
"62"," 1.2369","-2.5230","13.8041"
"63"," 1.7472","-2.2683","14.8283"
"64"," 1.5663","-2.3261","14.4052"
"65"," 1.6411","-1.8053","14.4924"
"66"," 1.4774","-1.3305","14.4041"
"67"," 1.2726","-1.0885","13.7353"
"68"," 0.5728","-1.3515","13.3960"
"69","-0.2847","-1.8849","10.9724"
"70","-1.2900","-2.1882"," 7.7744"
"71","-2.8763","-3.2590"," 2.9481"
"72","-3.0881","-5.1575"," 2.2848"
"73","-1.6119","-5.6025"," 6.9289"
"74"," 0.1915","-5.4025","12.9768"
"75"," 1.6054","-4.8661","13.8740"
"76"," 2.2246","-4.1360","14.7110"
"77"," 2.2015","-3.7947","14.3873"
"78"," 1.5541","-3.5313","14.2096"
"79"," 1.7465","-2.9555","14.4806"
"80"," 1.6753","-2.1219","14.3822"
"81"," 1.6267","-1.8117","14.7628"
"82"," 1.3878","-1.0523","14.0865"
"83"," 0.4213","-1.1491","12.8806"
"84","-1.0692","-1.4220"," 8.7205"
"85","-5.2558","-3.0225"," 0.3962"
"86","-6.8526","-7.1463","-0.0607"
"87","-4.9446","-8.8189"," 0.3775"
"88","-3.1111","-8.9220"," 2.2836"
"89","-0.9087","-7.8254"," 9.1123"
"90"," 0.7723","-7.1752","13.2426"
"91"," 1.8651","-6.4983","14.4996"
"92"," 1.9829","-6.1226","14.6044"
"93"," 1.9243","-5.4990","14.1819"
"94"," 1.5796","-4.9290","14.2349"
"95"," 1.5771","-3.9570","14.0083"
"96"," 1.6724","-3.3695","14.2245"
"97"," 2.0207","-3.0072","14.6294"
"98"," 1.5949","-2.4103","14.3734"
"99"," 1.6546","-2.0320","14.3459"
"100"," 1.1750","-1.6860","14.1354"
