"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.1068","-2.8728","12.1544"
"3"," 0.8586","-2.9990","13.9925"
"4"," 1.0358","-2.3591","13.4733"
"5"," 1.4471","-2.4494","14.1025"
"6"," 1.4769","-1.9552","14.1318"
"7"," 1.2968","-1.7277","14.1112"
"8"," 1.1972","-1.6398","13.5967"
"9"," 1.0565","-1.6561","13.9273"
"10"," 0.8329","-1.5190","13.9355"
"11"," 0.1154","-1.6485","12.7266"
"12","-0.7783","-2.4760"," 9.5070"
"13","-1.2204","-2.7085"," 7.7537"
"14","-1.4527","-3.4078"," 7.0443"
"15","-1.3617","-3.4579"," 7.7542"
"16","-0.3174","-3.8973","11.6643"
"17"," 0.9278","-3.6539","13.7549"
"18"," 1.5783","-3.4012","14.2577"
"19"," 1.9703","-3.0460","14.5250"
"20"," 2.0863","-2.4430","14.7216"
"21"," 1.8011","-2.0899","14.2466"
"22"," 1.2477","-1.7090","14.0176"
"23"," 0.7580","-1.6911","13.4903"
"24","-0.0917","-1.8368","11.8353"
"25","-1.1455","-2.4543"," 8.6567"
"26","-2.1695","-2.9206"," 4.7546"
"27","-2.2752","-4.0958"," 4.5152"
"28","-1.0917","-5.0298"," 8.5773"
"29"," 0.5946","-4.4877","13.0065"
"30"," 1.4726","-4.1903","14.4196"
"31"," 1.9921","-3.5228","14.4796"
"32"," 1.7046","-3.2288","14.2143"
"33"," 1.5372","-2.9313","14.4782"
"34"," 1.5565","-2.4438","14.4368"
"35"," 1.6009","-2.2565","14.3235"
"36"," 1.2405","-1.5664","13.8049"
"37"," 0.5510","-1.5914","13.2632"
"38","-0.0456","-1.9822","12.1208"
"39","-0.6727","-2.3163"," 9.8444"
"40","-0.8540","-3.0533"," 9.6615"
"41","-0.8228","-3.0836"," 9.9734"
"42","-0.0469","-3.3075","11.7291"
"43"," 1.3992","-3.3829","14.2857"
"44"," 1.7632","-2.6387","14.4087"
"45"," 1.4297","-2.1316","13.7534"
"46"," 1.2272","-1.7454","14.1954"
"47"," 1.0876","-1.5435","13.8808"
"48"," 0.5113","-1.9925","12.7647"
"49"," 0.5282","-1.9906","13.2603"
"50"," 0.6353","-2.2722","12.6001"
"51"," 1.0652","-2.2586","13.8560"
"52"," 1.6075","-1.8455","14.4133"
"53"," 1.5577","-1.6240","13.9947"
"54"," 1.2917","-1.2257","13.9939"
"55"," 0.8246","-1.3048","13.6796"
"56"," 0.0636","-1.4097","11.8061"
"57","-1.1135","-2.2854"," 8.5166"
"58","-2.1285","-3.2256"," 4.8871"
"59","-2.3609","-4.0922"," 4.0860"
"60","-1.1994","-4.2092"," 8.0240"
"61"," 0.3301","-3.9728","12.8387"
"62"," 1.4059","-3.5483","13.7438"
"63"," 1.9216","-2.7115","14.7469"
"64"," 1.8215","-2.2747","14.3830"
"65"," 1.4389","-2.1838","14.3441"
"66"," 1.4843","-1.5948","14.0484"
"67"," 1.1209","-1.9671","14.1050"
"68"," 0.9854","-1.9813","13.7163"
"69"," 0.7341","-1.7549","13.4117"
"70"," 0.4744","-2.0104","13.4312"
"71"," 0.3346","-1.7268","12.9174"
"72","-0.1190","-2.1664","11.5197"
"73","-0.0739","-2.2759","11.6055"
"74","-0.1402","-2.2387","11.2451"
"75","-0.1233","-2.7096","11.7749"
"76"," 0.5796","-2.6083","13.3524"
"77"," 0.9741","-2.7283","13.9949"
"78"," 1.5213","-2.5748","14.3015"
"79"," 1.4688","-2.7216","14.1655"
"80"," 1.0976","-2.1724","13.7033"
"81"," 1.3629","-1.9568","13.8459"
"82"," 1.1316","-1.5874","14.4200"
"83"," 0.9045","-1.6866","13.6087"
"84"," 0.6006","-1.3795","13.0042"
"85"," 0.1310","-1.3500","12.4429"
"86","-1.9911","-2.0526"," 5.3487"
"87","-5.1398","-3.5401"," 0.5477"
"88","-6.1111","-6.6657"," 0.2660"
"89","-4.3034","-8.1266"," 0.6714"
"90","-2.4839","-7.1572"," 3.8376"
"91","-0.7546","-6.6714"," 9.6567"
"92"," 0.8219","-6.2328","13.0986"
"93"," 1.8531","-5.3604","14.5647"
"94"," 1.4504","-4.9910","14.0301"
"95"," 1.9564","-4.3872","14.1823"
"96"," 1.8256","-4.0188","14.5642"
"97"," 1.9163","-3.9460","14.2506"
"98"," 2.1485","-3.5044","14.8026"
"99"," 2.1107","-3.2675","14.4060"
"100"," 1.7520","-2.8015","14.3777"
