"","","","FR"
"1","  0.00000"," -2.30259"," 12.00000"
"2"," -0.01545"," -2.58060"," 11.86792"
"3","  0.58673"," -2.48971"," 13.19069"
"4","  0.54793"," -2.41901"," 12.87105"
"5","  1.09792"," -2.03954"," 13.75149"
"6","  1.33357"," -1.98787"," 14.36443"
"7","  0.97666"," -2.34387"," 13.70774"
"8","  0.95088"," -2.46387"," 13.73579"
"9","  1.41160"," -2.23043"," 14.45995"
"10","  1.33633"," -1.50163"," 14.14323"
"11","  0.92626"," -1.00801"," 13.79433"
"12"," -0.38480"," -1.25558"," 10.53629"
"13"," -3.49196"," -2.16094","  1.75200"
"14"," -8.00405"," -5.21486"," -0.16957"
"15"," -3.16529"," -9.76796","  2.08189"
"16"," -0.99043"," -8.86598","  8.86050"
"17","  0.98209"," -8.46481"," 13.76440"
"18","  1.82336"," -8.01960"," 14.43399"
"19","  1.54994"," -7.33909"," 14.05487"
"20","  1.61585"," -7.36797"," 14.54620"
"21","  1.93266"," -6.90232"," 14.66035"
"22","  1.83916"," -6.32700"," 13.89971"
"23","  1.84918"," -6.04470"," 14.41086"
"24","  2.17700"," -5.39094"," 14.71568"
"25","  1.82747"," -4.85490"," 13.97304"
"26","  1.47506"," -4.25309"," 14.02546"
"27","  1.98427"," -4.02609"," 14.31427"
"28","  2.42197"," -3.54644"," 14.99124"
"29","  1.85805"," -2.97306"," 14.37600"
"30","  1.60785"," -2.04523"," 13.92066"
"31","  1.75484"," -1.63305"," 14.08565"
"32","  1.46744"," -1.49890"," 14.06436"
"33","  1.06946"," -1.55746"," 14.08493"
"34","  0.78342"," -1.70921"," 13.17158"
"35","  0.66956"," -1.83616"," 13.33499"
"36","  0.49895"," -2.27048"," 13.19518"
"37","  0.60666"," -2.54816"," 13.15225"
"38","  1.09929"," -2.67257"," 13.59742"
"39","  0.96843"," -2.84764"," 13.93074"
"40","  1.35990"," -2.53901"," 14.12702"
"41","  1.44495"," -2.33492"," 13.89631"
"42","  1.68644"," -1.81483"," 14.13362"
"43","  1.10050"," -1.18494"," 14.01214"
"44"," -0.00305"," -1.61750"," 12.11500"
"45"," -1.18390"," -2.43642","  8.44988"
"46"," -1.83521"," -3.50857","  5.80279"
"47"," -1.25244"," -3.59579","  8.17367"
"48"," -0.21986"," -3.86465"," 11.62697"
"49","  0.74257"," -4.02246"," 13.50223"
"50","  1.09897"," -3.71851"," 13.46001"
"51","  1.54985"," -3.21606"," 14.27448"
"52","  1.71629"," -2.67438"," 14.13604"
"53","  2.05531"," -1.98251"," 14.44350"
"54","  1.48339"," -1.53751"," 14.19598"
"55","  1.14529"," -1.34572"," 14.22862"
"56","  0.57764"," -1.03693"," 12.93171"
"57"," -0.93937"," -1.48047","  9.36304"
"58"," -4.97845"," -3.03908","  0.85787"
"59"," -8.92396"," -6.77342"," -0.31857"
"60"," -4.47066","-10.48269","  0.68366"
"61"," -2.07362"," -9.80662","  4.96646"
"62","  0.03452"," -9.62246"," 12.21916"
"63","  1.37957"," -8.76961"," 13.92219"
"64","  1.79905"," -7.95134"," 14.09109"
"65","  1.92806"," -7.25676"," 14.53890"
"66","  1.77313"," -6.34826"," 14.71766"
"67","  1.56442"," -5.78554"," 14.57407"
"68","  1.87260"," -5.03058"," 14.26289"
"69","  2.14807"," -4.76626"," 14.94964"
"70","  1.74634"," -4.64462"," 14.26674"
"71","  2.00463"," -4.45034"," 14.72872"
"72","  2.31079"," -3.76242"," 14.35498"
"73","  1.98232"," -3.50597"," 14.31933"
"74","  1.53486"," -3.26719"," 13.90294"
"75","  1.99003"," -3.12450"," 14.69314"
"76","  1.72213"," -3.02087"," 14.68785"
"77","  1.95888"," -2.78269"," 14.43062"
"78","  1.65862"," -2.27317"," 14.17875"
"79","  1.37604"," -1.45959"," 14.19715"
"80","  0.85232"," -1.90702"," 13.95774"
"81","  0.43364"," -2.14740"," 12.89177"
"82","  0.66395"," -2.64919"," 13.06222"
"83","  1.07484"," -2.29783"," 13.72765"
"84","  1.22874"," -2.17946"," 13.87015"
"85","  0.98358"," -2.09699"," 13.98572"
"86","  0.98995"," -1.56913"," 14.01666"
"87","  0.67892"," -1.16499"," 12.78742"
"88","  0.11866"," -1.54569"," 12.60959"
"89"," -0.94260"," -2.44894","  8.90754"
"90"," -1.18940"," -3.03450","  8.04940"
"91"," -1.06452"," -3.33457","  8.75511"
"92"," -0.20364"," -3.45483"," 11.64681"
"93","  0.99071"," -3.28221"," 13.88315"
"94","  1.67274"," -2.47344"," 14.04358"
"95","  1.63914"," -2.57134"," 14.57247"
"96","  1.73099"," -1.86678"," 14.60864"
"97","  1.26912"," -1.89116"," 13.68316"
"98","  1.15249"," -1.93425"," 13.74530"
"99","  1.51234"," -1.74490"," 14.28605"
"100","  1.40806"," -1.45263"," 13.93248"
