"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2","-0.1574","-2.8991","11.7003"
"3"," 0.5625","-2.9272","13.1119"
"4"," 1.2338","-2.8552","13.9560"
"5"," 1.4606","-2.6059","14.1189"
"6"," 1.5242","-2.5011","14.2359"
"7"," 1.4507","-2.1205","13.9589"
"8"," 1.6251","-2.0804","14.4298"
"9"," 1.3141","-1.6859","13.7451"
"10"," 0.7912","-1.5305","13.7638"
"11"," 0.2887","-1.6879","12.4974"
"12","-0.3178","-1.8206","11.0913"
"13","-1.5735","-2.7414"," 6.2241"
"14","-1.4359","-3.6782"," 7.5880"
"15","-0.1467","-4.1925","11.3599"
"16"," 1.1132","-3.9258","14.0256"
"17"," 1.2517","-3.7055","14.2397"
"18"," 1.6365","-3.1724","14.3063"
"19"," 1.7941","-2.8274","14.6381"
"20"," 1.3801","-2.3595","14.1542"
"21"," 1.8078","-2.3727","14.1446"
"22"," 1.7418","-2.1046","14.2221"
"23"," 1.6302","-2.0775","14.4640"
"24"," 1.5019","-2.2825","14.0305"
"25"," 1.6346","-2.3223","14.5266"
"26"," 1.4798","-2.2564","13.8245"
"27"," 1.5922","-2.2878","14.4837"
"28"," 1.8377","-1.7802","14.5454"
"29"," 1.7436","-1.3600","14.7954"
"30"," 1.1673","-1.5961","13.8130"
"31"," 1.0436","-1.9569","13.9881"
"32"," 1.1054","-2.4019","13.6723"
"33"," 1.1882","-2.0417","13.9619"
"34"," 1.0913","-2.0071","13.2353"
"35"," 1.1193","-1.9718","13.7352"
"36"," 0.9507","-1.8426","13.5754"
"37"," 1.2007","-1.5092","14.0545"
"38"," 0.9704","-1.6788","13.2298"
"39"," 0.9680","-1.5105","13.8370"
"40"," 0.4880","-1.7187","12.9446"
"41"," 0.1719","-1.6468","12.0105"
"42","-0.3502","-2.1133","11.3538"
"43","-0.5381","-2.6416","10.2456"
"44","-0.5082","-3.1552","11.0348"
"45"," 0.2711","-3.0130","12.4459"
"46"," 1.0690","-2.8646","14.1161"
"47"," 1.2782","-2.5910","13.7867"
"48"," 1.3192","-2.4054","14.0163"
"49"," 1.3774","-2.0210","13.9646"
"50"," 1.6333","-1.8705","14.3888"
"51"," 1.5106","-1.8835","14.0798"
"52"," 1.0054","-1.7425","14.3721"
"53"," 0.5222","-2.0087","13.3265"
"54"," 0.1962","-1.8081","12.5576"
"55","-0.2001","-2.4235","11.6963"
"56"," 0.0979","-2.6260","11.7374"
"57"," 0.4438","-2.9342","12.9194"
"58"," 0.9834","-3.2022","13.8096"
"59"," 1.5228","-3.0940","14.2315"
"60"," 1.9845","-2.6282","14.5719"
"61"," 1.9424","-2.1476","14.6592"
"62"," 2.2571","-1.5871","14.7212"
"63"," 1.1901","-1.0229","13.7290"
"64"," 0.5854","-0.8923","12.8145"
"65","-1.1171","-1.5991"," 8.4108"
"66","-3.8905","-3.4245"," 1.2144"
"67","-3.4787","-5.8474"," 1.5834"
"68","-1.7329","-5.7876"," 6.4745"
"69","-0.0854","-6.0050","11.8695"
"70"," 1.2166","-5.1595","13.8514"
"71"," 1.3998","-4.5904","14.5592"
"72"," 1.6583","-4.1893","14.3036"
"73"," 1.7897","-4.0481","14.1918"
"74"," 1.4758","-3.0436","13.9935"
"75"," 1.5696","-2.6969","14.3681"
"76"," 1.4571","-2.2120","14.0233"
"77"," 1.3471","-1.8722","14.1433"
"78"," 1.1085","-1.6724","14.3206"
"79"," 0.3093","-2.1540","12.7078"
"80"," 0.1090","-2.0607","12.4245"
"81"," 0.4145","-2.1451","12.7874"
"82"," 0.7239","-2.0863","13.5173"
"83"," 0.5115","-1.8470","12.7855"
"84"," 0.1571","-1.6533","12.1790"
"85","-0.8240","-2.0870"," 9.6749"
"86","-1.7066","-3.0256"," 6.5581"
"87","-1.6906","-3.8319"," 6.4280"
"88","-0.7786","-4.1588"," 9.6506"
"89"," 0.2770","-4.3293","12.7149"
"90"," 1.4304","-3.8891","14.5189"
"91"," 1.8263","-3.5266","14.2854"
"92"," 1.8920","-2.8914","14.3582"
"93"," 1.8768","-2.3821","14.2794"
"94"," 1.7337","-2.0118","14.3739"
"95"," 1.5466","-1.8951","14.0844"
"96"," 1.5685","-1.7996","14.1930"
"97"," 1.2739","-1.4883","14.0672"
"98"," 0.5444","-1.4959","13.2896"
"99","-0.1776","-2.1176","11.5630"
"100","-0.5842","-2.1020","10.3042"
