"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.0864","-2.2784","12.4951"
"3","-0.0508","-2.9327","11.9283"
"4"," 0.5597","-3.1568","13.4931"
"5"," 1.1464","-2.6839","13.7185"
"6"," 1.7143","-2.3943","14.1375"
"7"," 1.5022","-2.2755","14.3215"
"8"," 1.2951","-1.7700","14.1764"
"9"," 1.4120","-1.6301","14.3126"
"10"," 1.2614","-1.7301","14.1250"
"11"," 0.5628","-1.6093","13.2371"
"12"," 0.4197","-2.1714","12.3628"
"13"," 0.1861","-2.1995","12.9743"
"14"," 0.0734","-2.4514","12.2872"
"15"," 0.3266","-2.2349","12.6820"
"16"," 0.7304","-2.2918","13.5304"
"17"," 1.4131","-2.1427","14.5237"
"18"," 1.2156","-2.1920","13.7481"
"19"," 1.2808","-1.9521","13.7699"
"20"," 0.7576","-1.2412","13.3958"
"21"," 0.0737","-1.6483","12.3011"
"22","-1.0799","-2.0551"," 8.6053"
"23","-2.7275","-3.3375"," 3.0601"
"24","-2.3541","-4.7179"," 4.1066"
"25","-0.9111","-4.7668"," 8.8455"
"26"," 0.5976","-4.4836","13.2338"
"27"," 1.2762","-4.2929","13.9262"
"28"," 1.5387","-4.0798","13.9960"
"29"," 1.5830","-3.7198","13.7044"
"30"," 1.8945","-3.3072","14.4219"
"31"," 2.1170","-2.5068","14.6777"
"32"," 1.8916","-1.9220","14.5412"
"33"," 1.5248","-1.4774","14.2833"
"34"," 1.0914","-1.3535","13.9462"
"35"," 0.5846","-1.4648","13.2752"
"36","-0.3057","-1.7034","11.2609"
"37","-1.3613","-2.1112"," 7.5307"
"38","-3.2371","-3.8038"," 2.0161"
"39","-2.8043","-5.2582"," 3.1489"
"40","-1.2763","-5.6162"," 8.0357"
"41"," 0.1775","-4.8603","12.7421"
"42"," 2.0495","-4.2843","14.5898"
"43"," 2.1223","-3.8996","14.2857"
"44"," 2.0871","-3.3865","14.7829"
"45"," 1.9489","-2.8780","14.8287"
"46"," 1.7669","-2.5368","14.4588"
"47"," 1.4671","-2.4084","14.1567"
"48"," 1.5869","-2.1114","14.3002"
"49"," 1.5161","-1.9538","13.9924"
"50"," 1.5349","-1.7316","13.7827"
"51"," 1.3470","-1.7718","13.8008"
"52"," 1.2436","-1.2775","13.6847"
"53"," 0.7943","-1.4094","13.6111"
"54","-0.0830","-1.7806","11.7081"
"55","-0.9330","-2.1864"," 8.9027"
"56","-1.6132","-2.5795"," 6.5824"
"57","-2.4196","-3.9652"," 3.9567"
"58","-1.5822","-4.6008"," 6.9190"
"59","-0.3042","-4.2776","11.2248"
"60"," 1.2812","-4.1843","14.0073"
"61"," 1.8208","-3.4221","14.5915"
"62"," 1.6141","-3.0738","14.2402"
"63"," 1.3447","-2.7297","14.0475"
"64"," 1.6566","-2.5821","14.2658"
"65"," 1.6600","-2.1732","14.3114"
"66"," 1.5836","-1.7263","14.3672"
"67"," 0.9560","-1.2814","13.7313"
"68"," 0.0583","-1.7800","12.1631"
"69","-1.1456","-2.6526"," 8.0618"
"70","-1.3055","-3.0956"," 7.7435"
"71","-1.0654","-3.9113"," 8.4372"
"72"," 0.1105","-3.6008","12.3579"
"73"," 1.3428","-3.0859","14.1891"
"74"," 1.4652","-2.8522","14.2757"
"75"," 1.5148","-2.8883","14.1183"
"76"," 1.5334","-2.3165","14.1920"
"77"," 1.6501","-2.0931","14.0087"
"78"," 1.5098","-1.4645","14.5558"
"79"," 1.1895","-1.1988","13.8487"
"80","-0.0076","-1.3115","11.7117"
"81","-1.8378","-2.2210"," 5.5666"
"82","-3.5152","-3.8506"," 1.6000"
"83","-2.8138","-5.1844"," 2.9477"
"84","-0.9578","-5.6816"," 9.0313"
"85"," 0.8639","-5.3418","13.7172"
"86"," 1.8919","-4.9363","14.5150"
"87"," 1.6688","-4.1455","14.6066"
"88"," 1.5131","-4.0762","13.9421"
"89"," 1.7527","-3.8935","14.3395"
"90"," 1.4754","-3.3571","14.4455"
"91"," 1.6976","-3.1793","14.1664"
"92"," 1.8473","-2.9385","14.5855"
"93"," 1.5376","-2.6809","13.9621"
"94"," 2.0666","-2.3367","14.7827"
"95"," 1.5591","-1.7336","14.3660"
"96"," 1.0723","-1.5996","14.3750"
"97"," 0.5037","-1.4585","12.8466"
"98","-0.1862","-1.8824","11.9165"
"99","-0.6814","-2.6489"," 9.7744"
"100","-0.4692","-2.9971","10.9797"
