"","","","FR"
"1"," 0.0000","-2.3026","12.0000"
"2"," 0.2063","-2.2710","12.5966"
"3"," 0.2030","-2.3417","12.6126"
"4"," 0.4583","-2.4034","13.2012"
"5"," 0.5880","-2.5353","13.4022"
"6"," 1.3293","-2.3458","14.1498"
"7"," 1.2791","-1.9366","14.0254"
"8"," 0.7464","-1.5304","13.5532"
"9"," 0.1696","-1.9032","12.4617"
"10","-0.2985","-2.4051","11.1801"
"11","-0.1452","-2.2806","11.7088"
"12","-0.3101","-2.4492","11.5129"
"13","-0.4539","-2.6951","10.6658"
"14","-0.3649","-2.9460","11.0906"
"15"," 0.5859","-2.7331","13.2294"
"16"," 0.9987","-2.5735","13.8825"
"17"," 1.3944","-2.2990","14.1327"
"18"," 1.0087","-2.4155","13.7869"
"19"," 1.5252","-2.2293","14.2665"
"20"," 1.1877","-2.2167","14.0550"
"21"," 1.6400","-2.0666","13.9213"
"22"," 1.1596","-1.7578","14.0501"
"23"," 1.0138","-1.4624","14.1893"
"24"," 0.9210","-1.0210","13.7831"
"25","-0.4712","-1.4838","10.6472"
"26","-3.1791","-2.3360"," 2.0698"
"27","-5.7064","-5.1271","-0.0476"
"28","-3.5269","-7.5408"," 1.3762"
"29","-1.4432","-7.0805"," 7.3112"
"30"," 0.6085","-6.4618","13.0406"
"31"," 1.6775","-5.6965","14.2991"
"32"," 2.2628","-5.2800","14.9118"
"33"," 2.0122","-4.8292","14.3620"
"34"," 1.9359","-4.3382","14.4031"
"35"," 2.3093","-3.6069","14.1816"
"36"," 1.5089","-3.0010","14.4987"
"37"," 1.6675","-2.7043","14.5050"
"38"," 1.8731","-2.4401","14.2571"
"39"," 1.9672","-2.1520","14.2267"
"40"," 1.5217","-2.0200","14.3252"
"41"," 1.3545","-1.6177","13.9714"
"42"," 1.2215","-1.3848","14.0439"
"43"," 0.5534","-1.6232","12.9846"
"44"," 0.1465","-1.9400","12.4179"
"45","-0.3373","-2.1852","10.9578"
"46","-0.4157","-2.5070","11.0795"
"47","-0.6042","-2.9268","10.2876"
"48","-0.0876","-3.1854","11.9744"
"49"," 0.2835","-3.0564","12.6718"
"50"," 1.0989","-3.0895","13.6752"
"51"," 1.5229","-2.8358","14.0919"
"52"," 1.4994","-2.3290","14.5473"
"53"," 1.7259","-1.9926","14.2681"
"54"," 1.5698","-1.9294","14.5288"
"55"," 1.0269","-1.9178","13.8336"
"56"," 1.0380","-1.9294","13.9761"
"57"," 0.6361","-1.6911","13.7610"
"58"," 0.3357","-1.1984","13.0714"
"59","-1.2084","-1.7962"," 7.8307"
"60","-3.7535","-3.0179"," 1.1248"
"61","-3.9897","-5.7169"," 1.1632"
"62","-2.4350","-6.3234"," 4.2269"
"63","-0.6679","-5.8982"," 9.8657"
"64"," 0.3963","-5.3964","13.2122"
"65"," 1.2689","-5.0645","14.0425"
"66"," 1.4438","-4.7703","13.8887"
"67"," 2.0617","-4.3178","13.9638"
"68"," 2.0679","-3.6750","15.1309"
"69"," 1.6013","-3.1831","14.5317"
"70"," 1.7882","-2.9802","14.3323"
"71"," 1.9729","-2.9484","14.6964"
"72"," 1.6176","-2.6094","13.9650"
"73"," 1.8557","-2.4379","14.6230"
"74"," 1.2701","-2.3064","13.8814"
"75"," 1.0406","-2.0631","13.9096"
"76"," 1.3364","-2.2516","14.0955"
"77"," 1.2862","-1.7370","14.0072"
"78"," 1.1183","-1.5225","13.7806"
"79"," 0.9482","-2.1425","13.7518"
"80"," 1.1379","-2.1740","13.5097"
"81"," 1.2544","-1.7894","14.3802"
"82"," 1.1250","-1.6437","13.4907"
"83"," 0.7004","-1.6152","13.4588"
"84","-0.0280","-1.7551","11.7457"
"85","-1.0306","-2.2453"," 9.0719"
"86","-1.7359","-3.3879"," 6.4457"
"87","-1.0081","-3.7264"," 8.9940"
"88"," 0.1434","-3.8628","12.2758"
"89"," 1.1553","-3.2174","14.1164"
"90"," 1.9367","-3.1277","14.5251"
"91"," 1.5841","-2.4825","13.9410"
"92"," 1.4634","-1.9623","14.1035"
"93"," 1.3617","-1.4641","13.9974"
"94"," 1.0567","-1.2908","13.7417"
"95"," 0.2260","-1.7036","12.6251"
"96","-0.6708","-1.9998","10.0609"
"97","-1.6218","-3.0800"," 6.7535"
"98","-1.1329","-4.1028"," 8.4004"
"99","-0.0531","-4.0760","12.3845"
"100"," 1.0012","-3.9644","13.7049"
